season,sport_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,pitching_GP,pitching_GS,pitching_IP,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK
2026,MBA,-1,9975032,4.0,T. Scott,RF,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,9975034,19.0,D. Gonzalez,RF,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,9975035,20.0,J. Espinoza,LF,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,9975039,11.0,M. Santos,CF,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,9975048,16.0,E. Lorenzo,1B,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,9975048,16.0,E. Lorenzo,3B,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,9975049,17.0,V. Colon,P,1,1,1.0,4,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,9975053,21.0,A. Bustillos,C,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,9975053,21.0,A. Bustillos,DH,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,9975068,44.0,Julian Barajas,P,1,1,6.0,5,3,2,3,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,9975982,43.0,M. Santiago,RF,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,9976001,27.0,Rolando Lujo,2B,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,9976007,16.0,Ethan Stephe,C,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,9976009,2.0,Austin Cowar,SS,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,9976011,17.0,Brady O'Lone,DH,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,9976014,4.0,Chance Muir,LF,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,9976027,15.0,Payton Casey,P,1,1,4.0,1,2,0,4,3,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2026,MBA,-1,11238378,14.0,M Salcedo,SS,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,11238379,18.0,Cameron Palomo,3B,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,11238380,35.0,Jordan Quintero,1B,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,11238380,35.0,Jordan Quintero,DH,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,11238381,13.0,D Garcia,LF,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,11238384,12.0,I Quiroz,2B,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,11238388,6.0,N HUYLER,2B,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,11238391,9.0,I Hibdon,LF,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,11238395,23.0,J White,C,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,11238396,33.0,Jonathan Peraza,P,1,1,2.0,2,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,11238397,27.0,A Nering,P,1,1,1.0,4,8,6,5,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,11238398,29.0,M MEDINA,P,1,1,3.332,3,3,1,2,3,17,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2026,MBA,-1,11238399,30.0,N Troxel,P,1,1,2.668,1,2,2,4,1,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2026,MBA,-1,11238556,24.0,Steve Thompson,1B,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,11238557,10.0,J. Lewis,CF,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,11238558,51.0,J. Moeller,DH,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,MBA,-1,11238558,51.0,J. Moeller,SS,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
