season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2025,MBA,2025-04-22T00:00:00-04:00,6347960,597088,8874485,1,Cam Gladden,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Carleton Davidson Stadium (Springfield, OH)",60,597295,597088,Heidelberg The Student Prince,Wittenberg Tigers
2025,MBA,2025-04-22T00:00:00-04:00,6347960,597088,8882170,10,Thatcher Dietz,CF/P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.668,2.2,1,1,1,0,2,10,1,0,1,0,0,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Carleton Davidson Stadium (Springfield, OH)",60,597295,597088,Heidelberg The Student Prince,Wittenberg Tigers
2025,MBA,2025-04-22T00:00:00-04:00,6347960,597295,8900669,12,Logan Winstead,PH,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Carleton Davidson Stadium (Springfield, OH)",60,597295,597088,Heidelberg The Student Prince,Wittenberg Tigers
2025,MBA,2025-04-22T00:00:00-04:00,6347960,597088,8875478,12,Xander Rodriguez,1B,1,1,1,6,1,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0.333,0.1,3,3,3,1,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,8,0,8,0,0,0,1,0,1,0,1.0,"Carleton Davidson Stadium (Springfield, OH)",60,597295,597088,Heidelberg The Student Prince,Wittenberg Tigers
2025,MBA,2025-04-22T00:00:00-04:00,6347960,597088,9096177,13,Brody Wilcox,PR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Carleton Davidson Stadium (Springfield, OH)",60,597295,597088,Heidelberg The Student Prince,Wittenberg Tigers
2025,MBA,2025-04-22T00:00:00-04:00,6347960,597295,8879185,13,Payton Moser,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.332,2.1,2,3,3,1,0,11,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Carleton Davidson Stadium (Springfield, OH)",60,597295,597088,Heidelberg The Student Prince,Wittenberg Tigers
2025,MBA,2025-04-22T00:00:00-04:00,6347960,597088,8892530,14,James MacAuley,SS,1,1,1,4,2,1,0,3,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,6,0,0,0,0,0,0,0,0.0,"Carleton Davidson Stadium (Springfield, OH)",60,597295,597088,Heidelberg The Student Prince,Wittenberg Tigers
2025,MBA,2025-04-22T00:00:00-04:00,6347960,597088,9096180,15,Luke Laufman,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.333,1.1,1,1,1,2,1,8,0,0,0,0,1,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Carleton Davidson Stadium (Springfield, OH)",60,597295,597088,Heidelberg The Student Prince,Wittenberg Tigers
2025,MBA,2025-04-22T00:00:00-04:00,6347960,597088,8878153,16,Tommy Chilicki,2B,1,1,2,5,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,0,0,0,0,0,1,0,0.0,"Carleton Davidson Stadium (Springfield, OH)",60,597295,597088,Heidelberg The Student Prince,Wittenberg Tigers
2025,MBA,2025-04-22T00:00:00-04:00,6347960,597295,8891268,17,Thomas McGuire,LF,1,1,0,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0.0,"Carleton Davidson Stadium (Springfield, OH)",60,597295,597088,Heidelberg The Student Prince,Wittenberg Tigers
