season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2025,MBA,2025-04-06T00:00:00-04:00,6302946,596535,8890611,0,Kenan Bowman,PH/RF,1,0,1,2,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Clark-LeClair (Greenville, NC)",4233,596543,596535,Fla. Atlantic Owls,East Carolina Pirates
2025,MBA,2025-04-06T00:00:00-04:00,6302946,596543,9096685,1,Danny Baez,DH,1,1,1,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Clark-LeClair (Greenville, NC)",4233,596543,596535,Fla. Atlantic Owls,East Carolina Pirates
2025,MBA,2025-04-06T00:00:00-04:00,6302946,596535,8890669,1,Dixon Williams,2B,1,1,1,3,1,0,0,4,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,0,0,0,0,0,0,0,0.0,"Clark-LeClair (Greenville, NC)",4233,596543,596535,Fla. Atlantic Owls,East Carolina Pirates
2025,MBA,2025-04-06T00:00:00-04:00,6302946,596535,8873880,10,Colby Wallace,3B/1B,1,1,0,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,0,0,0,0,0,0,0,0.0,"Clark-LeClair (Greenville, NC)",4233,596543,596535,Fla. Atlantic Owls,East Carolina Pirates
2025,MBA,2025-04-06T00:00:00-04:00,6302946,596543,8884587,10,John Schroeder,LF,1,1,0,5,2,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,0,0,0,0,0,0,0,0.0,"Clark-LeClair (Greenville, NC)",4233,596543,596535,Fla. Atlantic Owls,East Carolina Pirates
2025,MBA,2025-04-06T00:00:00-04:00,6302946,596535,9094774,11,Alex Peltier,PR/CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Clark-LeClair (Greenville, NC)",4233,596543,596535,Fla. Atlantic Owls,East Carolina Pirates
2025,MBA,2025-04-06T00:00:00-04:00,6302946,596543,8893648,11,Patrick Ward,3B/1B,1,1,1,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,0,0,0,0,0,0,0,0.0,"Clark-LeClair (Greenville, NC)",4233,596543,596535,Fla. Atlantic Owls,East Carolina Pirates
2025,MBA,2025-04-06T00:00:00-04:00,6302946,596535,9094777,13,Michael Kalinich,PH/DH,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Clark-LeClair (Greenville, NC)",4233,596543,596535,Fla. Atlantic Owls,East Carolina Pirates
2025,MBA,2025-04-06T00:00:00-04:00,6302946,596543,9096714,15,Jake Duer,RF,1,1,0,4,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"Clark-LeClair (Greenville, NC)",4233,596543,596535,Fla. Atlantic Owls,East Carolina Pirates
2025,MBA,2025-04-06T00:00:00-04:00,6302946,596543,9096709,2,Ayden Garcia,C,1,1,2,5,2,0,0,5,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,6,0,0,0,2,0,0,0,1.0,"Clark-LeClair (Greenville, NC)",4233,596543,596535,Fla. Atlantic Owls,East Carolina Pirates
2025,MBA,2025-04-06T00:00:00-04:00,6302946,596535,9094722,2,Roger Vergara,DH,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Clark-LeClair (Greenville, NC)",4233,596543,596535,Fla. Atlantic Owls,East Carolina Pirates
