season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2025,MBA,2025-05-23T00:00:00-04:00,6384791,597310,8902019,1,Dominic Masino,SS,1,1,0,5,2,1,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,0,0,0,0,0,0,0,0.0,"Jim Hynes Stadium (Union, NJ)",212,597032,597310,Salve Regina Seahawks,Kean Cougars
2025,MBA,2025-05-23T00:00:00-04:00,6384791,597310,8883439,10,Nick Sellari,2B,1,1,1,4,2,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,9,0,0,0,0,0,0,0,0.0,"Jim Hynes Stadium (Union, NJ)",212,597032,597310,Salve Regina Seahawks,Kean Cougars
2025,MBA,2025-05-23T00:00:00-04:00,6384791,597310,8892045,11,Justin Teixeira,RF,1,1,1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,5,0,0,0,0,0,0,0,0.0,"Jim Hynes Stadium (Union, NJ)",212,597032,597310,Salve Regina Seahawks,Kean Cougars
2025,MBA,2025-05-23T00:00:00-04:00,6384791,597032,8882666,13,Christian Homa,2B,1,1,0,3,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,6,0,0,0,0,0,0,0,0.0,"Jim Hynes Stadium (Union, NJ)",212,597032,597310,Salve Regina Seahawks,Kean Cougars
2025,MBA,2025-05-23T00:00:00-04:00,6384791,597310,8892357,14,Kyle Adorno,CF,1,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Jim Hynes Stadium (Union, NJ)",212,597032,597310,Salve Regina Seahawks,Kean Cougars
2025,MBA,2025-05-23T00:00:00-04:00,6384791,597032,9299410,15,Tyler Petrosino,1B,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,0,12,1,0,0,0,0,0,0,0.0,"Jim Hynes Stadium (Union, NJ)",212,597032,597310,Salve Regina Seahawks,Kean Cougars
2025,MBA,2025-05-23T00:00:00-04:00,6384791,597032,9299411,17,Hunter Yaworski,DH,1,1,1,4,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Jim Hynes Stadium (Union, NJ)",212,597032,597310,Salve Regina Seahawks,Kean Cougars
2025,MBA,2025-05-23T00:00:00-04:00,6384791,597032,8883531,18,Andrew Wertz,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Jim Hynes Stadium (Union, NJ)",212,597032,597310,Salve Regina Seahawks,Kean Cougars
2025,MBA,2025-05-23T00:00:00-04:00,6384791,597310,8874700,2,Brett Hilsheimer,3B,1,1,0,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,0,0,0,0,0,0,0.0,"Jim Hynes Stadium (Union, NJ)",212,597032,597310,Salve Regina Seahawks,Kean Cougars
2025,MBA,2025-05-23T00:00:00-04:00,6384791,597032,8881400,2,Shane Williams,RF,1,1,0,5,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0.0,"Jim Hynes Stadium (Union, NJ)",212,597032,597310,Salve Regina Seahawks,Kean Cougars
