season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2025,MBA,2025-02-01T00:00:00-05:00,6349262,596944,8888007,1,Jaron Ward,CF,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0.0,"Bill Evans Field  (College Park, GA)",213,596944,596875,Virginia St. Trojans,Clark Atlanta Panthers
2025,MBA,2025-02-01T00:00:00-05:00,6349262,596944,9109517,10,Andrew Jackson,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,3,2,1,0,1,7,0,0,0,0,0,1,0,3,3,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Bill Evans Field  (College Park, GA)",213,596944,596875,Virginia St. Trojans,Clark Atlanta Panthers
2025,MBA,2025-02-01T00:00:00-05:00,6349262,596944,9109522,11,Thomas Ealey,P,1,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.0,5.0,5,4,1,3,8,24,0,1,0,0,1,0,0,0,0,1,0,2,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1.0,"Bill Evans Field  (College Park, GA)",213,596944,596875,Virginia St. Trojans,Clark Atlanta Panthers
2025,MBA,2025-02-01T00:00:00-05:00,6349262,596944,9109521,12,Julius Turner,PH,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Bill Evans Field  (College Park, GA)",213,596944,596875,Virginia St. Trojans,Clark Atlanta Panthers
2025,MBA,2025-02-01T00:00:00-05:00,6349262,596944,9109524,13,Hector Rivera,SS,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0.0,"Bill Evans Field  (College Park, GA)",213,596944,596875,Virginia St. Trojans,Clark Atlanta Panthers
2025,MBA,2025-02-01T00:00:00-05:00,6349262,596875,9211423,14,Tucker Love,3B,1,1,3,2,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,0,0,0,0,0,0,0,0.0,"Bill Evans Field  (College Park, GA)",213,596944,596875,Virginia St. Trojans,Clark Atlanta Panthers
2025,MBA,2025-02-01T00:00:00-05:00,6349262,596875,8901220,16,Justin Johnson,LF,1,1,1,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"Bill Evans Field  (College Park, GA)",213,596944,596875,Virginia St. Trojans,Clark Atlanta Panthers
2025,MBA,2025-02-01T00:00:00-05:00,6349262,596944,8879034,16,Victor Johnson,RF,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Bill Evans Field  (College Park, GA)",213,596944,596875,Virginia St. Trojans,Clark Atlanta Panthers
2025,MBA,2025-02-01T00:00:00-05:00,6349262,596875,9211425,18,Dylan Scott,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.0,7.0,4,0,0,1,8,26,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Bill Evans Field  (College Park, GA)",213,596944,596875,Virginia St. Trojans,Clark Atlanta Panthers
2025,MBA,2025-02-01T00:00:00-05:00,6349262,596944,8898125,2,Marquis Smith,LF,1,1,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,"Bill Evans Field  (College Park, GA)",213,596944,596875,Virginia St. Trojans,Clark Atlanta Panthers
