season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2025,MBA,2025-04-25T00:00:00-04:00,6348218,597093,8898506,1,Chris Nesensohn,CF,1,1,1,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0.0,"Angelica Park (Reading, PA)",109,597093,597094,York (PA) Spartans,Alvernia Golden Wolves
2025,MBA,2025-04-25T00:00:00-04:00,6348218,597093,8890921,10,Matthew Wade,C,1,1,1,3,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,2,10,0,0,2,0,1,0,0,0.0,"Angelica Park (Reading, PA)",109,597093,597094,York (PA) Spartans,Alvernia Golden Wolves
2025,MBA,2025-04-25T00:00:00-04:00,6348218,597093,8887673,11,Ryan Niedzialkowski,1B,1,1,2,4,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,6,0,0,0,0,0,0,0,0.0,"Angelica Park (Reading, PA)",109,597093,597094,York (PA) Spartans,Alvernia Golden Wolves
2025,MBA,2025-04-25T00:00:00-04:00,6348218,597094,8895580,12,Evan Thomas,3B,1,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,0,0,0,0,1,0,0.0,"Angelica Park (Reading, PA)",109,597093,597094,York (PA) Spartans,Alvernia Golden Wolves
2025,MBA,2025-04-25T00:00:00-04:00,6348218,597093,8882675,12,Jason Cassidy,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Angelica Park (Reading, PA)",109,597093,597094,York (PA) Spartans,Alvernia Golden Wolves
2025,MBA,2025-04-25T00:00:00-04:00,6348218,597093,8879789,14,Joe Urban,3B,1,1,2,4,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.0,"Angelica Park (Reading, PA)",109,597093,597094,York (PA) Spartans,Alvernia Golden Wolves
2025,MBA,2025-04-25T00:00:00-04:00,6348218,597094,8893924,14,Noah Waldron,RF,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Angelica Park (Reading, PA)",109,597093,597094,York (PA) Spartans,Alvernia Golden Wolves
2025,MBA,2025-04-25T00:00:00-04:00,6348218,597094,9301823,16,Christopher Babkowski,C,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,8,0,0,1,0,0,0,0,0.0,"Angelica Park (Reading, PA)",109,597093,597094,York (PA) Spartans,Alvernia Golden Wolves
2025,MBA,2025-04-25T00:00:00-04:00,6348218,597093,8879686,16,Michael Tinneny,SS,1,1,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0.0,"Angelica Park (Reading, PA)",109,597093,597094,York (PA) Spartans,Alvernia Golden Wolves
2025,MBA,2025-04-25T00:00:00-04:00,6348218,597094,9302077,17,Cole Ladik,CF,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Angelica Park (Reading, PA)",109,597093,597094,York (PA) Spartans,Alvernia Golden Wolves
