season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2025,MBA,2025-03-06T00:00:00-05:00,6350037,597274,8901965,1,Alex Dinicola,DH,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Myrtle Beach, SC",40,597274,597130,Elmira Soaring Eagles,Pitt.-Bradford Panthers
2025,MBA,2025-03-06T00:00:00-05:00,6350037,597130,8880963,10,Logan McConnell,C,1,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,0,0,0,0,0,0,0,0.0,"Myrtle Beach, SC",40,597274,597130,Elmira Soaring Eagles,Pitt.-Bradford Panthers
2025,MBA,2025-03-06T00:00:00-05:00,6350037,597130,9305778,11,Trent Bielak,DH,1,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Myrtle Beach, SC",40,597274,597130,Elmira Soaring Eagles,Pitt.-Bradford Panthers
2025,MBA,2025-03-06T00:00:00-05:00,6350037,597130,8888066,15,Garret Smith,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Myrtle Beach, SC",40,597274,597130,Elmira Soaring Eagles,Pitt.-Bradford Panthers
2025,MBA,2025-03-06T00:00:00-05:00,6350037,597274,8878201,16,Brendan McGar,C,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,2,0,0,0,1.0,"Myrtle Beach, SC",40,597274,597130,Elmira Soaring Eagles,Pitt.-Bradford Panthers
2025,MBA,2025-03-06T00:00:00-05:00,6350037,597130,9309150,19,Nick Manee,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,3,3,3,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Myrtle Beach, SC",40,597274,597130,Elmira Soaring Eagles,Pitt.-Bradford Panthers
2025,MBA,2025-03-06T00:00:00-05:00,6350037,597130,8895817,2,Blake Prestash,3B,1,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,0,0,0,0,0,0,0,0.0,"Myrtle Beach, SC",40,597274,597130,Elmira Soaring Eagles,Pitt.-Bradford Panthers
2025,MBA,2025-03-06T00:00:00-05:00,6350037,597274,8882041,2,Brett Warden,1B,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0,9,0,0,0,0,0,0,0,0.0,"Myrtle Beach, SC",40,597274,597130,Elmira Soaring Eagles,Pitt.-Bradford Panthers
2025,MBA,2025-03-06T00:00:00-05:00,6350037,597130,8899287,20,Alex Colwell,1B,1,1,1,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,5,0,0,0,0,0,0,0,0.0,"Myrtle Beach, SC",40,597274,597130,Elmira Soaring Eagles,Pitt.-Bradford Panthers
2025,MBA,2025-03-06T00:00:00-05:00,6350037,597130,9305780,21,T. Johnson,CF,1,1,0,4,2,0,0,2,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1,9,0,0,0,0,0,1,0,0.0,"Myrtle Beach, SC",40,597274,597130,Elmira Soaring Eagles,Pitt.-Bradford Panthers
