season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2025,MBA,2025-04-21T00:00:00-04:00,6352407,597208,8899948,1,Dallas Griess,CF,1,1,0,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0.0,"Journey Bank Ballpark at Historic Bowman Field (Williamsport, PA)",78,597547,597208,Penn St. Brandywine Nittany Lions,Penn College 
2025,MBA,2025-04-21T00:00:00-04:00,6352407,597547,9106248,11,Daniel Horowitz,2B,1,1,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,1,0,0,0,0,0,0,0.0,"Journey Bank Ballpark at Historic Bowman Field (Williamsport, PA)",78,597547,597208,Penn St. Brandywine Nittany Lions,Penn College 
2025,MBA,2025-04-21T00:00:00-04:00,6352407,597208,8878568,11,Matt Munoz,LF,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0.0,"Journey Bank Ballpark at Historic Bowman Field (Williamsport, PA)",78,597547,597208,Penn St. Brandywine Nittany Lions,Penn College 
2025,MBA,2025-04-21T00:00:00-04:00,6352407,597547,9106252,13,Shawn Webb,1B,1,1,1,3,1,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,7,0,0,0,0,0,2,0,0.0,"Journey Bank Ballpark at Historic Bowman Field (Williamsport, PA)",78,597547,597208,Penn St. Brandywine Nittany Lions,Penn College 
2025,MBA,2025-04-21T00:00:00-04:00,6352407,597208,8875668,14,Parker White,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.667,1.2,2,0,0,0,2,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Journey Bank Ballpark at Historic Bowman Field (Williamsport, PA)",78,597547,597208,Penn St. Brandywine Nittany Lions,Penn College 
2025,MBA,2025-04-21T00:00:00-04:00,6352407,597547,9106257,15,Miguel Rodriguez,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0.0,"Journey Bank Ballpark at Historic Bowman Field (Williamsport, PA)",78,597547,597208,Penn St. Brandywine Nittany Lions,Penn College 
2025,MBA,2025-04-21T00:00:00-04:00,6352407,597208,8883716,15,Ryan Sawyer,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Journey Bank Ballpark at Historic Bowman Field (Williamsport, PA)",78,597547,597208,Penn St. Brandywine Nittany Lions,Penn College 
2025,MBA,2025-04-21T00:00:00-04:00,6352407,597208,8889872,16,John Croasdale,RF,1,1,0,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"Journey Bank Ballpark at Historic Bowman Field (Williamsport, PA)",78,597547,597208,Penn St. Brandywine Nittany Lions,Penn College 
2025,MBA,2025-04-21T00:00:00-04:00,6352407,597547,9106264,17,Owen Lawton,CF,1,1,1,5,2,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,0,0,0,0,0,0,0,0.0,"Journey Bank Ballpark at Historic Bowman Field (Williamsport, PA)",78,597547,597208,Penn St. Brandywine Nittany Lions,Penn College 
2025,MBA,2025-04-21T00:00:00-04:00,6352407,597208,8894986,19,Shawn Townsend,SS,1,1,0,3,2,1,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4,0,0,0,0,0,0,0,0.0,"Journey Bank Ballpark at Historic Bowman Field (Williamsport, PA)",78,597547,597208,Penn St. Brandywine Nittany Lions,Penn College 
