season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2025,MBA,2025-05-23T00:00:00-04:00,6385333,596672,8890160,0,Jeriah Lewis,CF,1,1,1,5,1,1,0,2,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,0,0,0,0,0,0,0,0.0,"Sloan Park (Mesa, AZ)",0,596672,596620,San Jose St. Spartans,Nevada Wolf Pack
2025,MBA,2025-05-23T00:00:00-04:00,6385333,596672,9113296,1,Alex Fernandes,RF,1,1,1,6,1,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0.0,"Sloan Park (Mesa, AZ)",0,596672,596620,San Jose St. Spartans,Nevada Wolf Pack
2025,MBA,2025-05-23T00:00:00-04:00,6385333,596620,8874191,10,Zach Garber,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.667,0.2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Sloan Park (Mesa, AZ)",0,596672,596620,San Jose St. Spartans,Nevada Wolf Pack
2025,MBA,2025-05-23T00:00:00-04:00,6385333,596620,8880337,13,Eddie Tierney,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,1,0,0,1,1,5,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Sloan Park (Mesa, AZ)",0,596672,596620,San Jose St. Spartans,Nevada Wolf Pack
2025,MBA,2025-05-23T00:00:00-04:00,6385333,596620,9109356,15,Sean Yamaguchi,3B,1,1,0,5,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Sloan Park (Mesa, AZ)",0,596672,596620,San Jose St. Spartans,Nevada Wolf Pack
2025,MBA,2025-05-23T00:00:00-04:00,6385333,596672,9113370,16,Jake McCoy,LF,1,1,0,4,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0.0,"Sloan Park (Mesa, AZ)",0,596672,596620,San Jose St. Spartans,Nevada Wolf Pack
2025,MBA,2025-05-23T00:00:00-04:00,6385333,596672,9113383,17,JC Osorio-Agard,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Sloan Park (Mesa, AZ)",0,596672,596620,San Jose St. Spartans,Nevada Wolf Pack
2025,MBA,2025-05-23T00:00:00-04:00,6385333,596620,8885517,18,Jake Harvey,C,1,1,0,3,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,1,11,0,0,0,1,0,0,0,1.0,"Sloan Park (Mesa, AZ)",0,596672,596620,San Jose St. Spartans,Nevada Wolf Pack
2025,MBA,2025-05-23T00:00:00-04:00,6385333,596620,9109377,19,Casey Burfield,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.0,7.0,8,3,3,1,9,31,3,2,0,0,1,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Sloan Park (Mesa, AZ)",0,596672,596620,San Jose St. Spartans,Nevada Wolf Pack
2025,MBA,2025-05-23T00:00:00-04:00,6385333,596672,9113397,20,Zach Tallerman,DH,1,1,0,4,1,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Sloan Park (Mesa, AZ)",0,596672,596620,San Jose St. Spartans,Nevada Wolf Pack
