season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2025,MBA,2025-05-17T00:00:00-04:00,6316794,596622,9110452,10,Joey Craig,RF,1,1,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0.0,"J.C. Love Field at Pat Patterson Park (Ruston, LA)",2309,596622,596584,New Mexico St. Aggies,Louisiana Tech Bulldogs
2025,MBA,2025-05-17T00:00:00-04:00,6316794,596622,9110799,11,Matthew Yarc,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"J.C. Love Field at Pat Patterson Park (Ruston, LA)",2309,596622,596584,New Mexico St. Aggies,Louisiana Tech Bulldogs
2025,MBA,2025-05-17T00:00:00-04:00,6316794,596584,9111150,12,Luke Cooley,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,2,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"J.C. Love Field at Pat Patterson Park (Ruston, LA)",2309,596622,596584,New Mexico St. Aggies,Louisiana Tech Bulldogs
2025,MBA,2025-05-17T00:00:00-04:00,6316794,596622,9110778,14,Colton Sneddon,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,3.0,2,2,2,1,2,14,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"J.C. Love Field at Pat Patterson Park (Ruston, LA)",2309,596622,596584,New Mexico St. Aggies,Louisiana Tech Bulldogs
2025,MBA,2025-05-17T00:00:00-04:00,6316794,596622,8882014,15,Steve Solorzano,DH,1,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"J.C. Love Field at Pat Patterson Park (Ruston, LA)",2309,596622,596584,New Mexico St. Aggies,Louisiana Tech Bulldogs
2025,MBA,2025-05-17T00:00:00-04:00,6316794,596622,9110523,17,Brandon Forrester,SS,1,1,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,5,0,0,0,0,0,0,0,0.0,"J.C. Love Field at Pat Patterson Park (Ruston, LA)",2309,596622,596584,New Mexico St. Aggies,Louisiana Tech Bulldogs
2025,MBA,2025-05-17T00:00:00-04:00,6316794,596622,9110566,2,Camden Kaufman,CF,1,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,0,0,0,0,0,0,0,0.0,"J.C. Love Field at Pat Patterson Park (Ruston, LA)",2309,596622,596584,New Mexico St. Aggies,Louisiana Tech Bulldogs
2025,MBA,2025-05-17T00:00:00-04:00,6316794,596584,8901383,2,Thaxton Berch,CF,1,1,0,3,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0.0,"J.C. Love Field at Pat Patterson Park (Ruston, LA)",2309,596622,596584,New Mexico St. Aggies,Louisiana Tech Bulldogs
2025,MBA,2025-05-17T00:00:00-04:00,6316794,596622,9110434,20,Bryce Campbell,1B,1,1,0,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,6,0,0,0,0,0,0,0,0.0,"J.C. Love Field at Pat Patterson Park (Ruston, LA)",2309,596622,596584,New Mexico St. Aggies,Louisiana Tech Bulldogs
2025,MBA,2025-05-17T00:00:00-04:00,6316794,596584,9111153,24,Sebastian Mexico,DH,1,1,2,5,2,1,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"J.C. Love Field at Pat Patterson Park (Ruston, LA)",2309,596622,596584,New Mexico St. Aggies,Louisiana Tech Bulldogs
2025,MBA,2025-05-17T00:00:00-04:00,6316794,596584,8885251,26,Blake Hooks,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,2,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"J.C. Love Field at Pat Patterson Park (Ruston, LA)",2309,596622,596584,New Mexico St. Aggies,Louisiana Tech Bulldogs
2025,MBA,2025-05-17T00:00:00-04:00,6316794,596622,9110512,28,Jaden Davis,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.667,0.2,0,0,0,1,0,3,0,0,0,0,1,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"J.C. Love Field at Pat Patterson Park (Ruston, LA)",2309,596622,596584,New Mexico St. Aggies,Louisiana Tech Bulldogs
