season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2025,MBA,2025-04-25T00:00:00-04:00,6303663,596631,9215538,10,Alex Lane,1B,1,1,0,4,2,0,0,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,1,0,0.0,"MU Baseball Field (West Long Branch, NJ)",228,596631,596609,Northeastern Huskies,Monmouth Hawks
2025,MBA,2025-04-25T00:00:00-04:00,6303663,596609,9091477,10,Jake Howlett,PH,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"MU Baseball Field (West Long Branch, NJ)",228,596631,596609,Northeastern Huskies,Monmouth Hawks
2025,MBA,2025-04-25T00:00:00-04:00,6303663,596609,8899739,11,Aidan Bretschneider,PH/CF,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"MU Baseball Field (West Long Branch, NJ)",228,596631,596609,Northeastern Huskies,Monmouth Hawks
2025,MBA,2025-04-25T00:00:00-04:00,6303663,596631,8896738,12,Joseph Hauser,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333,0.1,0,0,0,0,1,1,0,0,1,0,0,0,0,2,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"MU Baseball Field (West Long Branch, NJ)",228,596631,596609,Northeastern Huskies,Monmouth Hawks
2025,MBA,2025-04-25T00:00:00-04:00,6303663,596609,8874447,13,Jay Bant,DH,1,1,0,4,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"MU Baseball Field (West Long Branch, NJ)",228,596631,596609,Northeastern Huskies,Monmouth Hawks
2025,MBA,2025-04-25T00:00:00-04:00,6303663,596631,8882536,13,Matt Brinker,DH,1,1,3,3,3,1,0,7,1,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"MU Baseball Field (West Long Branch, NJ)",228,596631,596609,Northeastern Huskies,Monmouth Hawks
2025,MBA,2025-04-25T00:00:00-04:00,6303663,596609,9091471,14,Harry Padden,CF,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0.0,"MU Baseball Field (West Long Branch, NJ)",228,596631,596609,Northeastern Huskies,Monmouth Hawks
2025,MBA,2025-04-25T00:00:00-04:00,6303663,596609,8881459,2,Chris Walsh,1B,1,1,2,3,2,1,0,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,6,0,0,0,0,0,0,0,0.0,"MU Baseball Field (West Long Branch, NJ)",228,596631,596609,Northeastern Huskies,Monmouth Hawks
2025,MBA,2025-04-25T00:00:00-04:00,6303663,596631,8892765,21,Justin Bosland,PH/CF,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"MU Baseball Field (West Long Branch, NJ)",228,596631,596609,Northeastern Huskies,Monmouth Hawks
2025,MBA,2025-04-25T00:00:00-04:00,6303663,596609,9091478,22,Kenny Noe,SS,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0.0,"MU Baseball Field (West Long Branch, NJ)",228,596631,596609,Northeastern Huskies,Monmouth Hawks
