season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2025,MBA,2025-05-16T00:00:00-04:00,6304549,596418,8877165,10,Petey Soto Jr.,SS,1,1,1,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,0,0,0,0,0,1,0,0.0,"John Smith Field (Sacramento, CA)",370,596418,596509,Utah Tech Trailblazers ,Sacramento St. Hornets
2025,MBA,2025-05-16T00:00:00-04:00,6304549,596509,8885936,11,Tyler White,CF,1,1,0,5,2,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0.0,"John Smith Field (Sacramento, CA)",370,596418,596509,Utah Tech Trailblazers ,Sacramento St. Hornets
2025,MBA,2025-05-16T00:00:00-04:00,6304549,596418,8880882,13,Levi Randall,LF,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"John Smith Field (Sacramento, CA)",370,596418,596509,Utah Tech Trailblazers ,Sacramento St. Hornets
2025,MBA,2025-05-16T00:00:00-04:00,6304549,596418,8875846,14,Kyle McDaniel,2B,1,1,3,4,3,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,0,0,0,0,0,1,0,0.0,"John Smith Field (Sacramento, CA)",370,596418,596509,Utah Tech Trailblazers ,Sacramento St. Hornets
2025,MBA,2025-05-16T00:00:00-04:00,6304549,596509,9107143,15,Jakob Poturnak,3B,1,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,6,0,0,0,0,0,0,0,0.0,"John Smith Field (Sacramento, CA)",370,596418,596509,Utah Tech Trailblazers ,Sacramento St. Hornets
2025,MBA,2025-05-16T00:00:00-04:00,6304549,596509,8895031,18,Andrew Monson,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,3,2,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"John Smith Field (Sacramento, CA)",370,596418,596509,Utah Tech Trailblazers ,Sacramento St. Hornets
2025,MBA,2025-05-16T00:00:00-04:00,6304549,596509,9107148,19,Orlando Cobarrubias,PH,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"John Smith Field (Sacramento, CA)",370,596418,596509,Utah Tech Trailblazers ,Sacramento St. Hornets
2025,MBA,2025-05-16T00:00:00-04:00,6304549,596509,9107161,21,Ethan Lay,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.0,5.0,5,2,2,2,2,22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"John Smith Field (Sacramento, CA)",370,596418,596509,Utah Tech Trailblazers ,Sacramento St. Hornets
2025,MBA,2025-05-16T00:00:00-04:00,6304549,596418,9217668,21,Ty Johnsen,C,1,1,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,8,0,0,0,0,0,0,0,0.0,"John Smith Field (Sacramento, CA)",370,596418,596509,Utah Tech Trailblazers ,Sacramento St. Hornets
2025,MBA,2025-05-16T00:00:00-04:00,6304549,596418,9217669,22,Ryan Kroepel,3B/P,1,1,1,5,4,1,0,5,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,1.0,1.0,1,0,0,0,1,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,1,1,0,1,1,0,0,0,0,0,0,0,0.0,"John Smith Field (Sacramento, CA)",370,596418,596509,Utah Tech Trailblazers ,Sacramento St. Hornets
