season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2025,MBA,2025-04-26T00:00:00-04:00,6348560,596902,8877919,1,Matthew Fleischhacker,2B,1,1,1,3,2,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Ronken Field (Sioux Falls, SD)",0,596902,596858,Minnesota St. Mavericks,Augustana (SD) Vikings
2025,MBA,2025-04-26T00:00:00-04:00,6348560,596858,9103568,1,Troy Berg,3B,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0.0,"Ronken Field (Sioux Falls, SD)",0,596902,596858,Minnesota St. Mavericks,Augustana (SD) Vikings
2025,MBA,2025-04-26T00:00:00-04:00,6348560,596858,8900268,10,Joshua Koskie,1B,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0.0,"Ronken Field (Sioux Falls, SD)",0,596902,596858,Minnesota St. Mavericks,Augustana (SD) Vikings
2025,MBA,2025-04-26T00:00:00-04:00,6348560,596902,8874521,11,Aidan Byrne,SS,1,1,1,4,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0.0,"Ronken Field (Sioux Falls, SD)",0,596902,596858,Minnesota St. Mavericks,Augustana (SD) Vikings
2025,MBA,2025-04-26T00:00:00-04:00,6348560,596858,9103558,12,Sam Siegel,1B,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,7,0,0,0,0,0,0,0,0.0,"Ronken Field (Sioux Falls, SD)",0,596902,596858,Minnesota St. Mavericks,Augustana (SD) Vikings
2025,MBA,2025-04-26T00:00:00-04:00,6348560,596858,9103585,14,Carter Heinsch,PH,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Ronken Field (Sioux Falls, SD)",0,596902,596858,Minnesota St. Mavericks,Augustana (SD) Vikings
2025,MBA,2025-04-26T00:00:00-04:00,6348560,596902,8873906,14,Louis Magers,1B,1,1,1,4,1,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,1,8,0,0,0,0,0,0,0,0.0,"Ronken Field (Sioux Falls, SD)",0,596902,596858,Minnesota St. Mavericks,Augustana (SD) Vikings
2025,MBA,2025-04-26T00:00:00-04:00,6348560,596902,9296767,15,Nick Baker,C,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,5,0,0,0,0,0,0,0,0.0,"Ronken Field (Sioux Falls, SD)",0,596902,596858,Minnesota St. Mavericks,Augustana (SD) Vikings
2025,MBA,2025-04-26T00:00:00-04:00,6348560,596858,8901092,18,Ragan Pinnow,DH,1,1,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Ronken Field (Sioux Falls, SD)",0,596902,596858,Minnesota St. Mavericks,Augustana (SD) Vikings
2025,MBA,2025-04-26T00:00:00-04:00,6348560,596858,9103588,19,Kobe Eikmeier,SS,1,1,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,6,0,0,0,0,0,0,0,0.0,"Ronken Field (Sioux Falls, SD)",0,596902,596858,Minnesota St. Mavericks,Augustana (SD) Vikings
