season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2025,MBA,2025-03-16T00:00:00-04:00,6302007,596602,9094635,0,AJ Rausch,CF/LF,1,1,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0.0,"Wilpon Complex/Ray Fisher Stadium (Ann Arbor, MI)",805,596681,596602,Southern California Trojans,Michigan Wolverines
2025,MBA,2025-03-16T00:00:00-04:00,6302007,596602,9094648,14,Colby Turner,DH,1,1,0,4,3,2,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Wilpon Complex/Ray Fisher Stadium (Ann Arbor, MI)",805,596681,596602,Southern California Trojans,Michigan Wolverines
2025,MBA,2025-03-16T00:00:00-04:00,6302007,596681,8874711,15,Ethan Hedges,3B,1,1,0,3,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4,0,0,0,0,0,0,0,0.0,"Wilpon Complex/Ray Fisher Stadium (Ann Arbor, MI)",805,596681,596602,Southern California Trojans,Michigan Wolverines
2025,MBA,2025-03-16T00:00:00-04:00,6302007,596602,9094650,15,Tyler Inge,LF,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Wilpon Complex/Ray Fisher Stadium (Ann Arbor, MI)",805,596681,596602,Southern California Trojans,Michigan Wolverines
2025,MBA,2025-03-16T00:00:00-04:00,6302007,596681,8876542,16,Brayden Dowd,CF,1,1,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0.0,"Wilpon Complex/Ray Fisher Stadium (Ann Arbor, MI)",805,596681,596602,Southern California Trojans,Michigan Wolverines
2025,MBA,2025-03-16T00:00:00-04:00,6302007,596681,9218879,18,Kade Higgins,RF,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0.0,"Wilpon Complex/Ray Fisher Stadium (Ann Arbor, MI)",805,596681,596602,Southern California Trojans,Michigan Wolverines
2025,MBA,2025-03-16T00:00:00-04:00,6302007,596602,8898423,2,Cole Caruso,3B,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.0,"Wilpon Complex/Ray Fisher Stadium (Ann Arbor, MI)",805,596681,596602,Southern California Trojans,Michigan Wolverines
2025,MBA,2025-03-16T00:00:00-04:00,6302007,596602,8896193,21,Jonathan Kim,RF,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0.0,"Wilpon Complex/Ray Fisher Stadium (Ann Arbor, MI)",805,596681,596602,Southern California Trojans,Michigan Wolverines
2025,MBA,2025-03-16T00:00:00-04:00,6302007,596602,8882591,23,Will Rogers,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0,0,0,0,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Wilpon Complex/Ray Fisher Stadium (Ann Arbor, MI)",805,596681,596602,Southern California Trojans,Michigan Wolverines
2025,MBA,2025-03-16T00:00:00-04:00,6302007,596602,9094691,26,Jeter Ybarra,1B,1,1,2,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,0,13,0,0,0,0,0,0,0,0.0,"Wilpon Complex/Ray Fisher Stadium (Ann Arbor, MI)",805,596681,596602,Southern California Trojans,Michigan Wolverines
2025,MBA,2025-03-16T00:00:00-04:00,6302007,596681,8892034,27,Bryce Grudzielanek,SS,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,0,0,0,0,0,0,0,0.0,"Wilpon Complex/Ray Fisher Stadium (Ann Arbor, MI)",805,596681,596602,Southern California Trojans,Michigan Wolverines
