season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2025,MBA,2025-03-14T00:00:00-04:00,6316402,596506,8892514,1,Eli Lopez,2B,1,1,0,6,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,7,0,0,0,0,0,2,0,0.0,"Triton Ballpark (San Diego, CA)",690,596694,596506,UC San Diego Tritons,Cal St. Fullerton Titans
2025,MBA,2025-03-14T00:00:00-04:00,6316402,596694,8876667,10,Cooper Thacker,LF,1,0,0,2,1,1,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.0,"Triton Ballpark (San Diego, CA)",690,596694,596506,UC San Diego Tritons,Cal St. Fullerton Titans
2025,MBA,2025-03-14T00:00:00-04:00,6316402,596506,8900921,10,Gavin Meyer,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.667,1.2,2,2,2,2,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Triton Ballpark (San Diego, CA)",690,596694,596506,UC San Diego Tritons,Cal St. Fullerton Titans
2025,MBA,2025-03-14T00:00:00-04:00,6316402,596506,8899221,12,Matthew Bardowell,LF,1,1,2,4,3,1,0,7,1,3,1,1,0,0,1,0,0,0,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.0,"Triton Ballpark (San Diego, CA)",690,596694,596506,UC San Diego Tritons,Cal St. Fullerton Titans
2025,MBA,2025-03-14T00:00:00-04:00,6316402,596694,9215285,14,Jake Villar,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Triton Ballpark (San Diego, CA)",690,596694,596506,UC San Diego Tritons,Cal St. Fullerton Titans
2025,MBA,2025-03-14T00:00:00-04:00,6316402,596506,8887883,15,Andrew Wright,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.332,2.1,1,0,0,3,3,13,1,0,0,0,1,2,1,1,0,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Triton Ballpark (San Diego, CA)",690,596694,596506,UC San Diego Tritons,Cal St. Fullerton Titans
2025,MBA,2025-03-14T00:00:00-04:00,6316402,596506,9107120,18,Paul Contreras,RF,1,1,1,6,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0.0,"Triton Ballpark (San Diego, CA)",690,596694,596506,UC San Diego Tritons,Cal St. Fullerton Titans
2025,MBA,2025-03-14T00:00:00-04:00,6316402,596506,9107122,19,Andrew Kirchner,1B,1,1,2,6,3,1,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,1,14,0,0,0,0,0,2,0,0.0,"Triton Ballpark (San Diego, CA)",690,596694,596506,UC San Diego Tritons,Cal St. Fullerton Titans
2025,MBA,2025-03-14T00:00:00-04:00,6316402,596694,8892566,2,Anthony Potestio,SS,1,1,0,4,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0.0,"Triton Ballpark (San Diego, CA)",690,596694,596506,UC San Diego Tritons,Cal St. Fullerton Titans
2025,MBA,2025-03-14T00:00:00-04:00,6316402,596506,8893986,2,Cam Burdick,CF,1,1,0,4,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0.0,"Triton Ballpark (San Diego, CA)",690,596694,596506,UC San Diego Tritons,Cal St. Fullerton Titans
2025,MBA,2025-03-14T00:00:00-04:00,6316402,596506,9107126,20,Logan Hart,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Triton Ballpark (San Diego, CA)",690,596694,596506,UC San Diego Tritons,Cal St. Fullerton Titans
2025,MBA,2025-03-14T00:00:00-04:00,6316402,596694,8887827,20,Sam Hasegawa,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.667,1.2,4,3,3,1,3,11,0,0,0,0,0,1,0,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Triton Ballpark (San Diego, CA)",690,596694,596506,UC San Diego Tritons,Cal St. Fullerton Titans
