season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2025,MBA,2025-05-03T00:00:00-04:00,6314157,596592,8890583,1,Matthew Best,RF,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0.0,"Alumni Field (Baltimore, MD)",345,596621,596592,NJIT Highlanders,UMBC Retrievers
2025,MBA,2025-05-03T00:00:00-04:00,6314157,596621,8877826,12,Cole Campbell,1B,1,1,1,5,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,5,0,0,0,0,0,1,0,0.0,"Alumni Field (Baltimore, MD)",345,596621,596592,NJIT Highlanders,UMBC Retrievers
2025,MBA,2025-05-03T00:00:00-04:00,6314157,596592,8879211,13,Eddie Sargent,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.668,6.2,5,2,2,2,4,28,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Alumni Field (Baltimore, MD)",345,596621,596592,NJIT Highlanders,UMBC Retrievers
2025,MBA,2025-05-03T00:00:00-04:00,6314157,596592,9171944,14,Anthony Mascuilli,3B,1,1,1,3,2,1,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,6,0,0,0,0,0,0,0,0.0,"Alumni Field (Baltimore, MD)",345,596621,596592,NJIT Highlanders,UMBC Retrievers
2025,MBA,2025-05-03T00:00:00-04:00,6314157,596621,9214817,15,Andrew Eppinger,DH,1,1,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Alumni Field (Baltimore, MD)",345,596621,596592,NJIT Highlanders,UMBC Retrievers
2025,MBA,2025-05-03T00:00:00-04:00,6314157,596621,8896141,17,Michael Doyle,3B,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,0,0,0,0,0,0,0,0.0,"Alumni Field (Baltimore, MD)",345,596621,596592,NJIT Highlanders,UMBC Retrievers
2025,MBA,2025-05-03T00:00:00-04:00,6314157,596621,8880680,19,Austin Francis,LF,1,1,1,4,1,0,0,4,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0.0,"Alumni Field (Baltimore, MD)",345,596621,596592,NJIT Highlanders,UMBC Retrievers
2025,MBA,2025-05-03T00:00:00-04:00,6314157,596592,8882359,2,Derek Paris,C,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,0,0,0,0,0,0,0,0.0,"Alumni Field (Baltimore, MD)",345,596621,596592,NJIT Highlanders,UMBC Retrievers
2025,MBA,2025-05-03T00:00:00-04:00,6314157,596621,8885539,2,Jack Stead,2B,1,1,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,5,0,0,0,0,0,0,0,0.0,"Alumni Field (Baltimore, MD)",345,596621,596592,NJIT Highlanders,UMBC Retrievers
2025,MBA,2025-05-03T00:00:00-04:00,6314157,596592,9171953,20,Nolan Kutney,2B,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.0,"Alumni Field (Baltimore, MD)",345,596621,596592,NJIT Highlanders,UMBC Retrievers
