season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2025,MBA,2025-03-08T00:00:00-05:00,6342109,596979,8883649,12,Tyler Fenton,PH,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Myrtle Beach, SC",65,596979,597169,New England Col. Pilgrims,Stevenson Mustangs
2025,MBA,2025-03-08T00:00:00-05:00,6342109,596979,9304843,14,Colby Rohr,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,3,5,5,3,1,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Myrtle Beach, SC",65,596979,597169,New England Col. Pilgrims,Stevenson Mustangs
2025,MBA,2025-03-08T00:00:00-05:00,6342109,597169,8892918,15,Christopher Manco,RF,1,1,1,4,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Myrtle Beach, SC",65,596979,597169,New England Col. Pilgrims,Stevenson Mustangs
2025,MBA,2025-03-08T00:00:00-05:00,6342109,596979,9303610,15,Johnny Cannavo,1B,1,1,1,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,5,0,0,0,0,0,0,0,0.0,"Myrtle Beach, SC",65,596979,597169,New England Col. Pilgrims,Stevenson Mustangs
2025,MBA,2025-03-08T00:00:00-05:00,6342109,596979,9304848,16,Kaeden Elmer,SS,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Myrtle Beach, SC",65,596979,597169,New England Col. Pilgrims,Stevenson Mustangs
2025,MBA,2025-03-08T00:00:00-05:00,6342109,597169,8885394,18,Jaylon Surell,3B,1,1,2,4,1,0,0,1,0,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,0,0,0,0,0,0,0,0.0,"Myrtle Beach, SC",65,596979,597169,New England Col. Pilgrims,Stevenson Mustangs
2025,MBA,2025-03-08T00:00:00-05:00,6342109,597169,8892562,2,Dalton Reinhart,1B,1,1,3,4,4,2,0,9,1,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1,9,0,0,0,0,0,0,0,0.0,"Myrtle Beach, SC",65,596979,597169,New England Col. Pilgrims,Stevenson Mustangs
2025,MBA,2025-03-08T00:00:00-05:00,6342109,596979,9304842,20,Yeri Ramos,DH,1,1,1,3,2,1,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Myrtle Beach, SC",65,596979,597169,New England Col. Pilgrims,Stevenson Mustangs
2025,MBA,2025-03-08T00:00:00-05:00,6342109,596979,8881038,21,Nick Becker,PH,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Myrtle Beach, SC",65,596979,597169,New England Col. Pilgrims,Stevenson Mustangs
2025,MBA,2025-03-08T00:00:00-05:00,6342109,596979,8889523,22,Harold Martinez,LF,1,1,1,4,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0.0,"Myrtle Beach, SC",65,596979,597169,New England Col. Pilgrims,Stevenson Mustangs
2025,MBA,2025-03-08T00:00:00-05:00,6342109,596979,9304846,23,Mike Monteforte,C,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,0,0,0,5,0,0,0,1.0,"Myrtle Beach, SC",65,596979,597169,New England Col. Pilgrims,Stevenson Mustangs
