season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2025,MBA,2025-03-04T00:00:00-05:00,6316552,596561,9100694,1,Aaron Lugo,3B,1,1,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.0,"Darryl & Lori Schroeder Park (Houston, TX)",824,596646,596561,UTRGV Vaqueros,Houston Cougars
2025,MBA,2025-03-04T00:00:00-05:00,6316552,596646,9280113,1,Thomas Williams,2B,1,1,2,4,2,0,0,2,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,8,10,0,0,0,0,0,2,0,0.0,"Darryl & Lori Schroeder Park (Houston, TX)",824,596646,596561,UTRGV Vaqueros,Houston Cougars
2025,MBA,2025-03-04T00:00:00-05:00,6316552,596646,8877190,10,Evan Janner,LF,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Darryl & Lori Schroeder Park (Houston, TX)",824,596646,596561,UTRGV Vaqueros,Houston Cougars
2025,MBA,2025-03-04T00:00:00-05:00,6316552,596646,8893727,11,Armani Raygoza,DH,1,1,2,5,2,0,0,5,1,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Darryl & Lori Schroeder Park (Houston, TX)",824,596646,596561,UTRGV Vaqueros,Houston Cougars
2025,MBA,2025-03-04T00:00:00-05:00,6316552,596561,9100701,11,Tyler Cox,SS,1,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.0,"Darryl & Lori Schroeder Park (Houston, TX)",824,596646,596561,UTRGV Vaqueros,Houston Cougars
2025,MBA,2025-03-04T00:00:00-05:00,6316552,596561,9100809,12,Cade Climie,LF,1,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"Darryl & Lori Schroeder Park (Houston, TX)",824,596646,596561,UTRGV Vaqueros,Houston Cougars
2025,MBA,2025-03-04T00:00:00-05:00,6316552,596646,8891316,12,Isaac Lopez,SS,1,1,2,4,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,0,0,0,0,0,2,0,0.0,"Darryl & Lori Schroeder Park (Houston, TX)",824,596646,596561,UTRGV Vaqueros,Houston Cougars
2025,MBA,2025-03-04T00:00:00-05:00,6316552,596561,9100709,13,Malachi Lott,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.667,0.2,2,2,2,0,1,4,0,1,0,1,0,0,0,2,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Darryl & Lori Schroeder Park (Houston, TX)",824,596646,596561,UTRGV Vaqueros,Houston Cougars
2025,MBA,2025-03-04T00:00:00-05:00,6316552,596646,9280121,13,Nick Nolan,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Darryl & Lori Schroeder Park (Houston, TX)",824,596646,596561,UTRGV Vaqueros,Houston Cougars
2025,MBA,2025-03-04T00:00:00-05:00,6316552,596561,9100762,17,Connor McGinnis,2B,1,1,2,3,1,1,0,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,5,0,0,0,0,0,0,0,0.0,"Darryl & Lori Schroeder Park (Houston, TX)",824,596646,596561,UTRGV Vaqueros,Houston Cougars
