season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2025,MBA,2025-02-14T00:00:00-05:00,6312966,596580,8883160,1,Jake Whitlinger,CF,1,1,1,3,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0.0,"L. Dale Mitchell Park (Norman, OK)",832,596580,596641,Lehigh Mountain Hawks,Oklahoma Sooners
2025,MBA,2025-02-14T00:00:00-05:00,6312966,596641,8882198,1,Jason Walk,CF,1,1,2,6,3,0,0,3,0,1,0,0,0,0,2,0,0,0,2,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0.0,"L. Dale Mitchell Park (Norman, OK)",832,596580,596641,Lehigh Mountain Hawks,Oklahoma Sooners
2025,MBA,2025-02-14T00:00:00-05:00,6312966,596580,8876012,13,Sam Holtz,SS/PH,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.0,"L. Dale Mitchell Park (Norman, OK)",832,596580,596641,Lehigh Mountain Hawks,Oklahoma Sooners
2025,MBA,2025-02-14T00:00:00-05:00,6312966,596580,8888125,15,Raffaele Rogers,3B,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0.0,"L. Dale Mitchell Park (Norman, OK)",832,596580,596641,Lehigh Mountain Hawks,Oklahoma Sooners
2025,MBA,2025-02-14T00:00:00-05:00,6312966,596641,9280278,16,Dayton Tockey,1B,1,1,0,3,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,7,0,0,0,0,0,2,0,0.0,"L. Dale Mitchell Park (Norman, OK)",832,596580,596641,Lehigh Mountain Hawks,Oklahoma Sooners
2025,MBA,2025-02-14T00:00:00-05:00,6312966,596641,8889962,17,Dasan Harris,PR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"L. Dale Mitchell Park (Norman, OK)",832,596580,596641,Lehigh Mountain Hawks,Oklahoma Sooners
2025,MBA,2025-02-14T00:00:00-05:00,6312966,596580,8883747,17,Ryan Mullock,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,2.0,4,4,4,1,1,12,1,0,1,0,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"L. Dale Mitchell Park (Norman, OK)",832,596580,596641,Lehigh Mountain Hawks,Oklahoma Sooners
2025,MBA,2025-02-14T00:00:00-05:00,6312966,596580,8892079,18,Robbie Carvelli,RF,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.0,"L. Dale Mitchell Park (Norman, OK)",832,596580,596641,Lehigh Mountain Hawks,Oklahoma Sooners
2025,MBA,2025-02-14T00:00:00-05:00,6312966,596580,8887722,19,Justin Butler,1B,1,1,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,0,0,0,0,0,0,0,0.0,"L. Dale Mitchell Park (Norman, OK)",832,596580,596641,Lehigh Mountain Hawks,Oklahoma Sooners
2025,MBA,2025-02-14T00:00:00-05:00,6312966,596580,8882619,2,Dom Patrizi,SS,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0.0,"L. Dale Mitchell Park (Norman, OK)",832,596580,596641,Lehigh Mountain Hawks,Oklahoma Sooners
