season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2025,MBA,2025-03-12T00:00:00-04:00,6342684,596929,8900776,1,Jack Decker,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Lenda and Glenda Hill Stadium (Hillsdale, MI)",97,596929,596890,Saginaw Valley Cardinals,Hillsdale Chargers
2025,MBA,2025-03-12T00:00:00-04:00,6342684,596929,9097800,10,Aaron Bess,RF,1,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"Lenda and Glenda Hill Stadium (Hillsdale, MI)",97,596929,596890,Saginaw Valley Cardinals,Hillsdale Chargers
2025,MBA,2025-03-12T00:00:00-04:00,6342684,596929,8893009,11,Austin Cicerone,3B,1,1,0,5,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0,0,0,0,0,1,0,0.0,"Lenda and Glenda Hill Stadium (Hillsdale, MI)",97,596929,596890,Saginaw Valley Cardinals,Hillsdale Chargers
2025,MBA,2025-03-12T00:00:00-04:00,6342684,596929,9097802,12,Zane Wilson,LF,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Lenda and Glenda Hill Stadium (Hillsdale, MI)",97,596929,596890,Saginaw Valley Cardinals,Hillsdale Chargers
2025,MBA,2025-03-12T00:00:00-04:00,6342684,596929,8897412,13,Connor Cornwell,C,1,1,2,3,2,0,0,5,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,5,0,0,1,1,1,0,0,0.5,"Lenda and Glenda Hill Stadium (Hillsdale, MI)",97,596929,596890,Saginaw Valley Cardinals,Hillsdale Chargers
2025,MBA,2025-03-12T00:00:00-04:00,6342684,596929,8900749,14,Buck Snabes,SS,1,1,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,9,0,0,0,0,0,2,0,0.0,"Lenda and Glenda Hill Stadium (Hillsdale, MI)",97,596929,596890,Saginaw Valley Cardinals,Hillsdale Chargers
2025,MBA,2025-03-12T00:00:00-04:00,6342684,596890,8881798,15,Jacob Pallo,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.0,4.0,0,0,0,2,0,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Lenda and Glenda Hill Stadium (Hillsdale, MI)",97,596929,596890,Saginaw Valley Cardinals,Hillsdale Chargers
2025,MBA,2025-03-12T00:00:00-04:00,6342684,596890,9030191,16,Gaard Swenson,CF,1,1,1,4,2,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"Lenda and Glenda Hill Stadium (Hillsdale, MI)",97,596929,596890,Saginaw Valley Cardinals,Hillsdale Chargers
2025,MBA,2025-03-12T00:00:00-04:00,6342684,596929,8875941,17,Ryan Adams,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Lenda and Glenda Hill Stadium (Hillsdale, MI)",97,596929,596890,Saginaw Valley Cardinals,Hillsdale Chargers
2025,MBA,2025-03-12T00:00:00-04:00,6342684,596890,8893950,17,Zak Kent,LF,1,1,0,4,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"Lenda and Glenda Hill Stadium (Hillsdale, MI)",97,596929,596890,Saginaw Valley Cardinals,Hillsdale Chargers
