season,season_name,sport_id,ncaa_division,ncaa_division_formatted,team_conference_name,school_id,school_name,player_id,player_jersey_num,player_full_name,player_first_name,player_last_name,player_class,player_positions,player_height_string,player_weight,player_batting_hand,player_throwing_hand,player_hometown,player_high_school,player_G,player_GS,player_url
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5039235,9,Aaron Draper,Aaron,Draper,Sr.,3B,,,,,,,50,46,https://stats.ncaa.org/players/5039235
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5039236,10,Russell Crippen,Russell,Crippen,Sr.,INF,,,,,,,56,56,https://stats.ncaa.org/players/5039236
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5039237,25,Brandon Lambright,Brandon,Lambright,Sr.,P,,,,,,,22,2,https://stats.ncaa.org/players/5039237
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5039238,31,Austin Lambright,Austin,Lambright,Sr.,P,,,,,,,15,13,https://stats.ncaa.org/players/5039238
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5197220,16,Drew Hanson,Drew,Hanson,Jr.,P,,,,,,,17,11,https://stats.ncaa.org/players/5197220
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5327142,23,Willie Harris,Willie,Harris,So.,OF,,,,,,,0,0,https://stats.ncaa.org/players/5327142
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5327143,27,Hunter Hays,Hunter,Hays,So.,C,,,,,,,4,1,https://stats.ncaa.org/players/5327143
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5327145,32,David Ruot,David,Ruot,So.,INF,,,,,,,20,2,https://stats.ncaa.org/players/5327145
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5327146,35,Caleb Dougherty,Caleb,Dougherty,Sr.,P,,,,,,,20,1,https://stats.ncaa.org/players/5327146
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5327149,44,Zach Kornely,Zach,Kornely,Sr.,P,,,,,,,15,2,https://stats.ncaa.org/players/5327149
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5327124,7,Derek Scott,Derek,Scott,So.,OF,,,,,,,55,55,https://stats.ncaa.org/players/5327124
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5327125,8,Hunter Markwardt,Hunter,Markwardt,So.,OF,,,,,,,3,2,https://stats.ncaa.org/players/5327125
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5327127,12,Mark Pearson,Mark,Pearson,So.,SS,,,,,,,56,56,https://stats.ncaa.org/players/5327127
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5327130,17,Collin Dudley,Collin,Dudley,Jr.,P,,,,,,,16,0,https://stats.ncaa.org/players/5327130
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5360370,14,Doug Dyer,Doug,Dyer,Fr.,P,,,,,,,3,0,https://stats.ncaa.org/players/5360370
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5364359,1,Chas Pedersen,Chas,Pedersen,Fr.,3B,,,,,,,4,1,https://stats.ncaa.org/players/5364359
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5346902,5,Bradley Lewis,Bradley,Lewis,Jr.,OF,,,,,,,31,10,https://stats.ncaa.org/players/5346902
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5346903,6,Dalon Farkas,Dalon,Farkas,So.,INF,,,,,,,54,51,https://stats.ncaa.org/players/5346903
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5346904,13,Anthony Dominguez,Anthony,Dominguez,Fr.,INF,,,,,,,53,45,https://stats.ncaa.org/players/5346904
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5346905,15,Nick Skeffington,Nick,Skeffington,Fr.,P,,,,,,,12,7,https://stats.ncaa.org/players/5346905
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5346906,18,Bryce Hill,Bryce,Hill,Fr.,P,,,,,,,1,1,https://stats.ncaa.org/players/5346906
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5346907,19,Blake Bouffard,Blake,Bouffard,Jr.,P,,,,,,,12,0,https://stats.ncaa.org/players/5346907
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5346908,21,Case Rolen,Case,Rolen,Jr.,P,,,,,,,6,6,https://stats.ncaa.org/players/5346908
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5346909,22,Keaton Brewer,Keaton,Brewer,Sr.,P,,,,,,,22,5,https://stats.ncaa.org/players/5346909
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5346910,24,Luis Trevino,Luis,Trevino,Jr.,C,,,,,,,55,55,https://stats.ncaa.org/players/5346910
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5346911,26,Cole Solomon,Cole,Solomon,Fr.,C,,,,,,,48,43,https://stats.ncaa.org/players/5346911
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5346912,28,Jonah Smith,Jonah,Smith,Fr.,P,,,,,,,20,1,https://stats.ncaa.org/players/5346912
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5346913,29,Koby Claborn,Koby,Claborn,So.,INF,,,,,,,51,47,https://stats.ncaa.org/players/5346913
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5346914,33,Hillin Warren,Hillin,Warren,Jr.,INF,,,,,,,23,14,https://stats.ncaa.org/players/5346914
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5346915,34,Ryan Kotulek,Ryan,Kotulek,Fr.,P,,,,,,,16,0,https://stats.ncaa.org/players/5346915
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5346916,11,Myles Pascahll,Myles,Pascahll,Fr.,OF,,,,,,,26,6,https://stats.ncaa.org/players/5346916
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5346917,43,Cyle Watkins,Cyle,Watkins,Fr.,P,,,,,,,16,0,https://stats.ncaa.org/players/5346917
2017,2016-17,MBA,1,I,Southland,2,Abilene Christian,5346918,41,Lane Bourland,Lane,Bourland,Fr.,C,,,,,,,26,15,https://stats.ncaa.org/players/5346918
