season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2026,MBA,2026-03-14T18:00:00-04:00,6524980,614974,9684349,0,Eric Wilson,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,3,3,3,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Dan Martin Stadium (Fresno, CA)",113,614975,614974,Point Loma Sea Lions,Fresno Pacific Sunbirds
2026,MBA,2026-03-14T18:00:00-04:00,6524980,614975,9699685,1,Aiden Arriaga,RF,1,1,2,4,2,0,0,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,0,0,0,0,0,0,0,0.0,"Dan Martin Stadium (Fresno, CA)",113,614975,614974,Point Loma Sea Lions,Fresno Pacific Sunbirds
2026,MBA,2026-03-14T18:00:00-04:00,6524980,614974,11220250,1,Tejean Smith,2B,1,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,0,0,0,0,0,0,0,0.0,"Dan Martin Stadium (Fresno, CA)",113,614975,614974,Point Loma Sea Lions,Fresno Pacific Sunbirds
2026,MBA,2026-03-14T18:00:00-04:00,6524980,614974,9688727,10,Aaron Martinez Jr.,3B,1,1,0,4,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.0,"Dan Martin Stadium (Fresno, CA)",113,614975,614974,Point Loma Sea Lions,Fresno Pacific Sunbirds
2026,MBA,2026-03-14T18:00:00-04:00,6524980,614975,11237862,10,Trenton Uyeda,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Dan Martin Stadium (Fresno, CA)",113,614975,614974,Point Loma Sea Lions,Fresno Pacific Sunbirds
2026,MBA,2026-03-14T18:00:00-04:00,6524980,614975,11237865,11,Hank Smith,DH/P,1,1,0,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2.0,2.0,1,0,0,1,3,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,1,0,1,1,0,0,0,0,0,0,0,0.0,"Dan Martin Stadium (Fresno, CA)",113,614975,614974,Point Loma Sea Lions,Fresno Pacific Sunbirds
2026,MBA,2026-03-14T18:00:00-04:00,6524980,614974,9700112,12,Gabe Henderson,SS,1,1,2,4,3,1,0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.0,"Dan Martin Stadium (Fresno, CA)",113,614975,614974,Point Loma Sea Lions,Fresno Pacific Sunbirds
2026,MBA,2026-03-14T18:00:00-04:00,6524980,614975,11237853,12,Tristan Moore,LF,1,1,3,4,2,2,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0.0,"Dan Martin Stadium (Fresno, CA)",113,614975,614974,Point Loma Sea Lions,Fresno Pacific Sunbirds
2026,MBA,2026-03-14T18:00:00-04:00,6524980,614974,11220243,14,Vincent Robinson,DH,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Dan Martin Stadium (Fresno, CA)",113,614975,614974,Point Loma Sea Lions,Fresno Pacific Sunbirds
2026,MBA,2026-03-14T18:00:00-04:00,6524980,614974,11220201,15,Damon Mckenzie,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,3,1,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Dan Martin Stadium (Fresno, CA)",113,614975,614974,Point Loma Sea Lions,Fresno Pacific Sunbirds
2026,MBA,2026-03-14T18:00:00-04:00,6524980,614975,9693325,16,Josiah Rodriguez,3B,1,1,0,3,3,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,0,0,0,0,0,0,0.0,"Dan Martin Stadium (Fresno, CA)",113,614975,614974,Point Loma Sea Lions,Fresno Pacific Sunbirds
2026,MBA,2026-03-14T18:00:00-04:00,6524980,614975,11237847,17,Glen Huggins,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.0,4.0,8,5,4,3,2,24,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Dan Martin Stadium (Fresno, CA)",113,614975,614974,Point Loma Sea Lions,Fresno Pacific Sunbirds
2026,MBA,2026-03-14T18:00:00-04:00,6524980,614974,11220296,18,Jacob Ruiz,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Dan Martin Stadium (Fresno, CA)",113,614975,614974,Point Loma Sea Lions,Fresno Pacific Sunbirds
2026,MBA,2026-03-14T18:00:00-04:00,6524980,614975,11237839,19,Matt Elliot,P/DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Dan Martin Stadium (Fresno, CA)",113,614975,614974,Point Loma Sea Lions,Fresno Pacific Sunbirds
