season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2026,MBA,2026-03-20T15:30:00-04:00,6508836,615372,11215021,10,Kieran McGrath,3B,1,1,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,4,0,0,0,0,0,0,0,0.0,"Prentiss Baseball Field (Poughkeepsie, NY)",108,615325,615372,Rensselaer Engineers,Vassar Brewers
2026,MBA,2026-03-20T15:30:00-04:00,6508836,615372,11215022,11,Ethan Fox-Fernandez,DH,1,1,1,2,1,0,0,1,0,0,1,2,0,0,1,0,0,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Prentiss Baseball Field (Poughkeepsie, NY)",108,615325,615372,Rensselaer Engineers,Vassar Brewers
2026,MBA,2026-03-20T15:30:00-04:00,6508836,615325,11329365,12,A. Crux,RF,1,1,1,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0.0,"Prentiss Baseball Field (Poughkeepsie, NY)",108,615325,615372,Rensselaer Engineers,Vassar Brewers
2026,MBA,2026-03-20T15:30:00-04:00,6508836,615372,11215024,14,Jack Biskupiak,RF,1,1,1,4,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,5,0,0,0,0,0,0,0,0.0,"Prentiss Baseball Field (Poughkeepsie, NY)",108,615325,615372,Rensselaer Engineers,Vassar Brewers
2026,MBA,2026-03-20T15:30:00-04:00,6508836,615372,11215025,18,Aidan Annello,1B,1,1,0,4,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,6,1,0,0,0,0,0,0,0.0,"Prentiss Baseball Field (Poughkeepsie, NY)",108,615325,615372,Rensselaer Engineers,Vassar Brewers
2026,MBA,2026-03-20T15:30:00-04:00,6508836,615325,9694333,19,Walker Abdallah,CF,1,1,1,3,0,0,0,0,0,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,6,0,0,0,0,0,0,0,0.0,"Prentiss Baseball Field (Poughkeepsie, NY)",108,615325,615372,Rensselaer Engineers,Vassar Brewers
2026,MBA,2026-03-20T15:30:00-04:00,6508836,615325,11329368,2,C. Morse,LF,1,0,0,2,2,0,1,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.0,"Prentiss Baseball Field (Poughkeepsie, NY)",108,615325,615372,Rensselaer Engineers,Vassar Brewers
2026,MBA,2026-03-20T15:30:00-04:00,6508836,615372,9684939,2,Jensen Bergman,CF,1,1,1,3,2,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,8,0,0,0,0,0,0,0,0.0,"Prentiss Baseball Field (Poughkeepsie, NY)",108,615325,615372,Rensselaer Engineers,Vassar Brewers
2026,MBA,2026-03-20T15:30:00-04:00,6508836,615325,9683222,21,Sam Kuss,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,3,2,2,0,1,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Prentiss Baseball Field (Poughkeepsie, NY)",108,615325,615372,Rensselaer Engineers,Vassar Brewers
2026,MBA,2026-03-20T15:30:00-04:00,6508836,615325,11329366,22,Garret Gates,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.332,5.1,6,3,2,2,2,23,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Prentiss Baseball Field (Poughkeepsie, NY)",108,615325,615372,Rensselaer Engineers,Vassar Brewers
