season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2026,MBA,2026-04-04T15:00:00-04:00,6491303,615262,9686067,1,Ethan Golemo,3B,1,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,0,0,0,0,0,1,0,0.0,"Ted Leonard Park (Greensboro, NC)",300,615262,615215,Methodist Monarchs,Greensboro Greensboro Pride
2026,MBA,2026-04-04T15:00:00-04:00,6491303,615215,9686630,1,Evan Sykes,SS,1,1,3,3,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0.0,"Ted Leonard Park (Greensboro, NC)",300,615262,615215,Methodist Monarchs,Greensboro Greensboro Pride
2026,MBA,2026-04-04T15:00:00-04:00,6491303,615215,9685662,11,Shane Garrett,DH,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Ted Leonard Park (Greensboro, NC)",300,615262,615215,Methodist Monarchs,Greensboro Greensboro Pride
2026,MBA,2026-04-04T15:00:00-04:00,6491303,615262,9701634,12,Brandon Mauger,2B,1,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0.0,"Ted Leonard Park (Greensboro, NC)",300,615262,615215,Methodist Monarchs,Greensboro Greensboro Pride
2026,MBA,2026-04-04T15:00:00-04:00,6491303,615215,11226290,13,Parker Broadus,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Ted Leonard Park (Greensboro, NC)",300,615262,615215,Methodist Monarchs,Greensboro Greensboro Pride
2026,MBA,2026-04-04T15:00:00-04:00,6491303,615215,11226292,14,Brayden Sands,3B,1,1,0,3,2,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,0,0,0,1,0,0.0,"Ted Leonard Park (Greensboro, NC)",300,615262,615215,Methodist Monarchs,Greensboro Greensboro Pride
2026,MBA,2026-04-04T15:00:00-04:00,6491303,615262,9703476,14,Presley Patterson,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,3.0,2,1,1,1,4,12,0,0,0,0,2,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Ted Leonard Park (Greensboro, NC)",300,615262,615215,Methodist Monarchs,Greensboro Greensboro Pride
2026,MBA,2026-04-04T15:00:00-04:00,6491303,615262,9694750,17,Austin Rinzel,CF,1,1,2,5,3,1,0,4,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0.0,"Ted Leonard Park (Greensboro, NC)",300,615262,615215,Methodist Monarchs,Greensboro Greensboro Pride
2026,MBA,2026-04-04T15:00:00-04:00,6491303,615215,9678178,17,Isaiah Faudoa,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.0,6.0,9,4,4,1,8,26,3,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Ted Leonard Park (Greensboro, NC)",300,615262,615215,Methodist Monarchs,Greensboro Greensboro Pride
2026,MBA,2026-04-04T15:00:00-04:00,6491303,615262,9696457,2,Blake Freeman,DH,1,1,1,4,3,1,0,7,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Ted Leonard Park (Greensboro, NC)",300,615262,615215,Methodist Monarchs,Greensboro Greensboro Pride
2026,MBA,2026-04-04T15:00:00-04:00,6491303,615215,11226277,2,Tyler Alverio,2B,1,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,6,0,0,0,0,0,1,0,0.0,"Ted Leonard Park (Greensboro, NC)",300,615262,615215,Methodist Monarchs,Greensboro Greensboro Pride
2026,MBA,2026-04-04T15:00:00-04:00,6491303,615262,11240713,20,Jesse Osborne,LF,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.0,"Ted Leonard Park (Greensboro, NC)",300,615262,615215,Methodist Monarchs,Greensboro Greensboro Pride
