season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2026,MBA,2026-04-08T00:00:00-04:00,6569784,615364,9683631,10,William Sawyer,CF,1,1,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,5,0,0,0,0,0,0,0,0.0,"DiBenedetto Stadium (Hartford, CT)",93,615291,615364,Saint Joseph (CT),Trinity (CT) Bantams
2026,MBA,2026-04-08T00:00:00-04:00,6569784,615291,9678463,11,Tyler Carlstrom,2B,1,1,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0,0,0,0,0,1,0,0.0,"DiBenedetto Stadium (Hartford, CT)",93,615291,615364,Saint Joseph (CT),Trinity (CT) Bantams
2026,MBA,2026-04-08T00:00:00-04:00,6569784,615291,9678496,13,Ryan Quinn,CF,1,1,1,4,2,1,0,3,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0.0,"DiBenedetto Stadium (Hartford, CT)",93,615291,615364,Saint Joseph (CT),Trinity (CT) Bantams
2026,MBA,2026-04-08T00:00:00-04:00,6569784,615364,9701655,14,Peter Beisel,LF,1,1,2,4,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,1,0,0,0,0,0,0,0.0,"DiBenedetto Stadium (Hartford, CT)",93,615291,615364,Saint Joseph (CT),Trinity (CT) Bantams
2026,MBA,2026-04-08T00:00:00-04:00,6569784,615364,9680673,16,Dylan Schnitzer,1B,1,1,1,4,2,0,0,5,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0,9,0,0,0,0,0,1,0,0.0,"DiBenedetto Stadium (Hartford, CT)",93,615291,615364,Saint Joseph (CT),Trinity (CT) Bantams
2026,MBA,2026-04-08T00:00:00-04:00,6569784,615291,9702646,17,Brady Higginbotham,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,2,3,3,0,2,6,0,0,0,1,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"DiBenedetto Stadium (Hartford, CT)",93,615291,615364,Saint Joseph (CT),Trinity (CT) Bantams
2026,MBA,2026-04-08T00:00:00-04:00,6569784,615291,9690866,18,Dom Scalia,LF,1,1,0,2,1,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"DiBenedetto Stadium (Hartford, CT)",93,615291,615364,Saint Joseph (CT),Trinity (CT) Bantams
2026,MBA,2026-04-08T00:00:00-04:00,6569784,615291,9678012,2,Luca Muscarella,LF,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"DiBenedetto Stadium (Hartford, CT)",93,615291,615364,Saint Joseph (CT),Trinity (CT) Bantams
2026,MBA,2026-04-08T00:00:00-04:00,6569784,615364,9697611,2,Tyler Fahey,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.668,2.2,5,3,3,0,0,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"DiBenedetto Stadium (Hartford, CT)",93,615291,615364,Saint Joseph (CT),Trinity (CT) Bantams
2026,MBA,2026-04-08T00:00:00-04:00,6569784,615291,9697377,20,Jack Kane,3B,1,1,3,4,3,0,0,6,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,0,0,0,0,0,0,0,0.0,"DiBenedetto Stadium (Hartford, CT)",93,615291,615364,Saint Joseph (CT),Trinity (CT) Bantams
