season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2026,MBA,2026-02-20T17:00:00-05:00,6507180,614569,10804844,10,Mateo Rickman,DH,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Louis Guisto Field (Moraga, CA)",267,614569,614726,CSUN Matadors,Saint Mary's (CA) Gaels
2026,MBA,2026-02-20T17:00:00-05:00,6507180,614569,9694970,13,Matthew Pena,1B,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,2,9,0,0,0,0,0,0,0,0.0,"Louis Guisto Field (Moraga, CA)",267,614569,614726,CSUN Matadors,Saint Mary's (CA) Gaels
2026,MBA,2026-02-20T17:00:00-05:00,6507180,614569,9696172,14,Trent Abel,SS,1,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0.0,"Louis Guisto Field (Moraga, CA)",267,614569,614726,CSUN Matadors,Saint Mary's (CA) Gaels
2026,MBA,2026-02-20T17:00:00-05:00,6507180,614569,10804832,16,Vaughn Coleman,CF,1,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,5,1,0,0,0,0,0,0,0.0,"Louis Guisto Field (Moraga, CA)",267,614569,614726,CSUN Matadors,Saint Mary's (CA) Gaels
2026,MBA,2026-02-20T17:00:00-05:00,6507180,614569,9688136,17,Kyle Panganiban,3B,1,1,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,6,1,0,0,0,0,0,0,0.0,"Louis Guisto Field (Moraga, CA)",267,614569,614726,CSUN Matadors,Saint Mary's (CA) Gaels
2026,MBA,2026-02-20T17:00:00-05:00,6507180,614726,11214534,18,Ian Josephson,PR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Louis Guisto Field (Moraga, CA)",267,614569,614726,CSUN Matadors,Saint Mary's (CA) Gaels
2026,MBA,2026-02-20T17:00:00-05:00,6507180,614569,9695710,2,Colton Boardman,PH/2B,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Louis Guisto Field (Moraga, CA)",267,614569,614726,CSUN Matadors,Saint Mary's (CA) Gaels
2026,MBA,2026-02-20T17:00:00-05:00,6507180,614726,11214515,2,Nick Allred,LF,1,1,2,3,2,0,0,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0.0,"Louis Guisto Field (Moraga, CA)",267,614569,614726,CSUN Matadors,Saint Mary's (CA) Gaels
2026,MBA,2026-02-20T17:00:00-05:00,6507180,614726,9678566,23,Makoa Sniffen,1B,1,1,1,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,6,0,0,0,0,0,2,0,0.0,"Louis Guisto Field (Moraga, CA)",267,614569,614726,CSUN Matadors,Saint Mary's (CA) Gaels
2026,MBA,2026-02-20T17:00:00-05:00,6507180,614726,9689234,24,Talin Gardini,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,3.0,2,0,0,1,1,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Louis Guisto Field (Moraga, CA)",267,614569,614726,CSUN Matadors,Saint Mary's (CA) Gaels
