season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2026,MBA,2026-03-03T16:00:00-05:00,6523877,614910,9683684,0,Jake Bidoglio,1B,1,1,2,3,1,0,0,4,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,0,10,0,0,0,0,0,0,0,0.0,"Abbey Yard (Belmont, NC)",115,615027,614910,Emory & Henry Wasps,Belmont Abbey Crusaders
2026,MBA,2026-03-03T16:00:00-05:00,6523877,614910,9704344,1,Cal Sigler,SS,1,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,5,1,0,0,0,0,1,0,0.0,"Abbey Yard (Belmont, NC)",115,615027,614910,Emory & Henry Wasps,Belmont Abbey Crusaders
2026,MBA,2026-03-03T16:00:00-05:00,6523877,615027,9696563,10,Isaiah Bracy,RF,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"Abbey Yard (Belmont, NC)",115,615027,614910,Emory & Henry Wasps,Belmont Abbey Crusaders
2026,MBA,2026-03-03T16:00:00-05:00,6523877,615027,9693026,11,Cade Varner,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,2.0,7,7,7,0,4,13,1,0,0,2,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Abbey Yard (Belmont, NC)",115,615027,614910,Emory & Henry Wasps,Belmont Abbey Crusaders
2026,MBA,2026-03-03T16:00:00-05:00,6523877,615027,9693435,12,Clay Caldwell,CF,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.0,"Abbey Yard (Belmont, NC)",115,615027,614910,Emory & Henry Wasps,Belmont Abbey Crusaders
2026,MBA,2026-03-03T16:00:00-05:00,6523877,615027,11221111,13,Maddox Harwood,RF,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0.0,"Abbey Yard (Belmont, NC)",115,615027,614910,Emory & Henry Wasps,Belmont Abbey Crusaders
2026,MBA,2026-03-03T16:00:00-05:00,6523877,615027,11221135,15,Jadden Rodriguez,LF,1,1,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,0,0,0,0,0,0,0,0.0,"Abbey Yard (Belmont, NC)",115,615027,614910,Emory & Henry Wasps,Belmont Abbey Crusaders
2026,MBA,2026-03-03T16:00:00-05:00,6523877,615027,9696464,16,Aidan Palmer,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0,"Abbey Yard (Belmont, NC)",115,615027,614910,Emory & Henry Wasps,Belmont Abbey Crusaders
2026,MBA,2026-03-03T16:00:00-05:00,6523877,614910,9700343,16,Josh Wilson,C,1,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,0,0,0,1,1,0,0,0.5,"Abbey Yard (Belmont, NC)",115,615027,614910,Emory & Henry Wasps,Belmont Abbey Crusaders
2026,MBA,2026-03-03T16:00:00-05:00,6523877,615027,11221113,17,J.D. James,1B,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0.0,"Abbey Yard (Belmont, NC)",115,615027,614910,Emory & Henry Wasps,Belmont Abbey Crusaders
