season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2026,MBA,2026-02-28T16:30:00-05:00,6546924,615202,9684484,1,Adan Nieves,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.0,2.0,4,5,5,4,2,14,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Rantoul, IL",0,615154,615202,Beloit Buccaneers,Elmhurst Bluejays
2026,MBA,2026-02-28T16:30:00-05:00,6546924,615154,9703876,1,Jordan Rosenberg,2B,1,1,1,5,2,0,0,2,0,2,0,0,0,0,2,0,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,0,0,0,0,0,0,0.0,"Rantoul, IL",0,615154,615202,Beloit Buccaneers,Elmhurst Bluejays
2026,MBA,2026-02-28T16:30:00-05:00,6546924,615154,9684308,10,Jack Alport,CF,1,1,0,5,0,0,0,0,0,0,0,1,0,0,3,1,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0.0,"Rantoul, IL",0,615154,615202,Beloit Buccaneers,Elmhurst Bluejays
2026,MBA,2026-02-28T16:30:00-05:00,6546924,615154,9699493,11,Jacopo Tamburini,DH,1,1,3,2,1,0,0,4,1,2,3,0,0,0,1,0,0,0,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Rantoul, IL",0,615154,615202,Beloit Buccaneers,Elmhurst Bluejays
2026,MBA,2026-02-28T16:30:00-05:00,6546924,615202,11329321,11,Ryder Johnson,CF,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"Rantoul, IL",0,615154,615202,Beloit Buccaneers,Elmhurst Bluejays
2026,MBA,2026-02-28T16:30:00-05:00,6546924,615202,9692030,12,Marty Fraga,LF,1,1,1,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"Rantoul, IL",0,615154,615202,Beloit Buccaneers,Elmhurst Bluejays
2026,MBA,2026-02-28T16:30:00-05:00,6546924,615154,9683064,15,Nolan Tomsyck,SS,1,1,0,4,2,1,0,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0.0,"Rantoul, IL",0,615154,615202,Beloit Buccaneers,Elmhurst Bluejays
2026,MBA,2026-02-28T16:30:00-05:00,6546924,615154,9702154,18,Drew Hanson,1B,1,1,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1,9,0,0,0,0,0,0,0,0.0,"Rantoul, IL",0,615154,615202,Beloit Buccaneers,Elmhurst Bluejays
2026,MBA,2026-02-28T16:30:00-05:00,6546924,615202,11329322,2,Timothy O'Connell,2B,1,1,1,5,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,0,0,0,0,0,1,0,0.0,"Rantoul, IL",0,615154,615202,Beloit Buccaneers,Elmhurst Bluejays
2026,MBA,2026-02-28T16:30:00-05:00,6546924,615202,9701716,21,Rock Smith,1B,1,1,0,4,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,5,0,0,0,0,0,1,0,0.0,"Rantoul, IL",0,615154,615202,Beloit Buccaneers,Elmhurst Bluejays
