season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2026,MBA,2026-02-14T12:00:00-05:00,6524664,614876,9688270,1,Aiden Booth,2B,1,1,1,3,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,6,0,0,0,0,0,0,0,0.0,"Ron Christopher Stadium (Wingate, NC)",128,614876,614958,Findlay Oilers,Seton Hill Griffins
2026,MBA,2026-02-14T12:00:00-05:00,6524664,614958,9703657,1,Jack Whalen,CF,1,1,2,6,4,1,1,7,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,5,1,0,0,0,0,0,0,0.0,"Ron Christopher Stadium (Wingate, NC)",128,614876,614958,Findlay Oilers,Seton Hill Griffins
2026,MBA,2026-02-14T12:00:00-05:00,6524664,614958,9684195,12,Joe Fiedor,2B,1,1,0,3,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0.0,"Ron Christopher Stadium (Wingate, NC)",128,614876,614958,Findlay Oilers,Seton Hill Griffins
2026,MBA,2026-02-14T12:00:00-05:00,6524664,614876,9690637,12,Mason Myers,LF,1,1,2,5,2,1,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,"Ron Christopher Stadium (Wingate, NC)",128,614876,614958,Findlay Oilers,Seton Hill Griffins
2026,MBA,2026-02-14T12:00:00-05:00,6524664,614958,9676728,14,Colin Ahr,1B,1,1,1,4,2,1,0,3,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,8,0,0,0,0,0,0,0,0.0,"Ron Christopher Stadium (Wingate, NC)",128,614876,614958,Findlay Oilers,Seton Hill Griffins
2026,MBA,2026-02-14T12:00:00-05:00,6524664,614958,9688605,15,Jack Bracken,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.332,3.1,1,2,1,2,3,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Ron Christopher Stadium (Wingate, NC)",128,614876,614958,Findlay Oilers,Seton Hill Griffins
2026,MBA,2026-02-14T12:00:00-05:00,6524664,614876,9693652,15,Luke Senften,RF,1,1,1,5,3,1,0,7,1,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,0,0,0,0,0,0,0,0.0,"Ron Christopher Stadium (Wingate, NC)",128,614876,614958,Findlay Oilers,Seton Hill Griffins
2026,MBA,2026-02-14T12:00:00-05:00,6524664,614876,9698190,17,Casey Maruniak,CF,1,1,1,4,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0.0,"Ron Christopher Stadium (Wingate, NC)",128,614876,614958,Findlay Oilers,Seton Hill Griffins
2026,MBA,2026-02-14T12:00:00-05:00,6524664,614876,9696509,21,Dylan Rouse,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,2,3,2,1,1,7,0,0,0,1,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Ron Christopher Stadium (Wingate, NC)",128,614876,614958,Findlay Oilers,Seton Hill Griffins
2026,MBA,2026-02-14T12:00:00-05:00,6524664,614876,9694920,22,Gavyn Smith,1B,1,1,2,3,1,0,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,1,9,1,0,0,0,0,0,0,0.0,"Ron Christopher Stadium (Wingate, NC)",128,614876,614958,Findlay Oilers,Seton Hill Griffins
