season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2026,MBA,2026-03-01T13:00:00-05:00,6538715,614601,9702109,02,Luke Nomura,SS,1,1,1,4,2,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,6,0,0,0,0,0,0,0,0.0,"Latham Park (Elon, NC)",273,614601,614828,Fairfield Stags,Elon Phoenix
2026,MBA,2026-03-01T13:00:00-05:00,6538715,614601,9688677,05,Nolan Colby,2B,1,1,1,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,5,0,0,0,0,0,0,0,0.0,"Latham Park (Elon, NC)",273,614601,614828,Fairfield Stags,Elon Phoenix
2026,MBA,2026-03-01T13:00:00-05:00,6538715,614601,11245467,06,Zach Stephenson,LF,1,1,0,4,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,4,1,0,0,0,0,0,0,0.0,"Latham Park (Elon, NC)",273,614601,614828,Fairfield Stags,Elon Phoenix
2026,MBA,2026-03-01T13:00:00-05:00,6538715,614828,9684865,1,Jackson Alford,2B,1,1,1,4,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0.0,"Latham Park (Elon, NC)",273,614601,614828,Fairfield Stags,Elon Phoenix
2026,MBA,2026-03-01T13:00:00-05:00,6538715,614828,11228400,10,Nathan Sterling,C,1,1,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,0,10,0,0,0,2,0,0,0,1.0,"Latham Park (Elon, NC)",273,614601,614828,Fairfield Stags,Elon Phoenix
2026,MBA,2026-03-01T13:00:00-05:00,6538715,614601,11245471,11,Harrison Engle,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.667,0.2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Latham Park (Elon, NC)",273,614601,614828,Fairfield Stags,Elon Phoenix
2026,MBA,2026-03-01T13:00:00-05:00,6538715,614828,9700999,11,Vincent Fattore,RF,1,1,0,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0.0,"Latham Park (Elon, NC)",273,614601,614828,Fairfield Stags,Elon Phoenix
2026,MBA,2026-03-01T13:00:00-05:00,6538715,614601,9679410,13,Connor Scanlan,1B,1,1,0,5,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,5,0,0,0,0,0,0,0,0.0,"Latham Park (Elon, NC)",273,614601,614828,Fairfield Stags,Elon Phoenix
2026,MBA,2026-03-01T13:00:00-05:00,6538715,614601,9699035,14,JP Kuczik,C,1,1,0,5,1,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0,9,0,0,0,1,0,0,0,1.0,"Latham Park (Elon, NC)",273,614601,614828,Fairfield Stags,Elon Phoenix
2026,MBA,2026-03-01T13:00:00-05:00,6538715,614601,9699887,17,Matthew Bucciero,RF,1,1,1,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"Latham Park (Elon, NC)",273,614601,614828,Fairfield Stags,Elon Phoenix
