season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2026,MBA,2026-04-06T00:00:00-04:00,6568747,615461,9691301,1,Declan Silva,CF,1,1,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0.0,"Kelsey Field (New London, NH)",0,615461,615186,Lasell Lasers,Colby-Sawyer Chargers
2026,MBA,2026-04-06T00:00:00-04:00,6568747,615461,11235912,10,Braelen Silva,SS,1,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,0,0,0,0,0,1,0,0.0,"Kelsey Field (New London, NH)",0,615461,615186,Lasell Lasers,Colby-Sawyer Chargers
2026,MBA,2026-04-06T00:00:00-04:00,6568747,615461,11235948,12,Connor Freitas,3B,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0.0,"Kelsey Field (New London, NH)",0,615461,615186,Lasell Lasers,Colby-Sawyer Chargers
2026,MBA,2026-04-06T00:00:00-04:00,6568747,615186,9679366,12,Evan Dennis,1B,1,1,1,3,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,9,1,0,0,0,0,1,0,0.0,"Kelsey Field (New London, NH)",0,615461,615186,Lasell Lasers,Colby-Sawyer Chargers
2026,MBA,2026-04-06T00:00:00-04:00,6568747,615186,9686252,13,Mike McLeer,CF,1,1,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Kelsey Field (New London, NH)",0,615461,615186,Lasell Lasers,Colby-Sawyer Chargers
2026,MBA,2026-04-06T00:00:00-04:00,6568747,615186,9693726,16,Jesse Chaves,LF,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"Kelsey Field (New London, NH)",0,615461,615186,Lasell Lasers,Colby-Sawyer Chargers
2026,MBA,2026-04-06T00:00:00-04:00,6568747,615461,11235916,17,Nicholas Groussis,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Kelsey Field (New London, NH)",0,615461,615186,Lasell Lasers,Colby-Sawyer Chargers
2026,MBA,2026-04-06T00:00:00-04:00,6568747,615461,11235920,19,Calvin Sanft,1B,1,1,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,6,0,0,0,0,0,1,0,0.0,"Kelsey Field (New London, NH)",0,615461,615186,Lasell Lasers,Colby-Sawyer Chargers
2026,MBA,2026-04-06T00:00:00-04:00,6568747,615186,9683283,2,Sean Roeger,3B,1,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0.0,"Kelsey Field (New London, NH)",0,615461,615186,Lasell Lasers,Colby-Sawyer Chargers
2026,MBA,2026-04-06T00:00:00-04:00,6568747,615186,11239232,29,Jacob Putnam,SS,1,1,0,2,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,0,0,0,0,1,0,0.0,"Kelsey Field (New London, NH)",0,615461,615186,Lasell Lasers,Colby-Sawyer Chargers
2026,MBA,2026-04-06T00:00:00-04:00,6568747,615461,9687973,3,Jonah Nielsen,RF,1,1,0,3,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"Kelsey Field (New London, NH)",0,615461,615186,Lasell Lasers,Colby-Sawyer Chargers
2026,MBA,2026-04-06T00:00:00-04:00,6568747,615186,9693818,31,Noah Staffier,C,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,6,0,0,0,0,0,0,0,0.0,"Kelsey Field (New London, NH)",0,615461,615186,Lasell Lasers,Colby-Sawyer Chargers
2026,MBA,2026-04-06T00:00:00-04:00,6568747,615461,9694241,35,Jeremy Angeles,C,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,5,0,0,0,2,2,0,0,0.5,"Kelsey Field (New London, NH)",0,615461,615186,Lasell Lasers,Colby-Sawyer Chargers
2026,MBA,2026-04-06T00:00:00-04:00,6568747,615186,9695202,4,Dylan Watson,P,1,1,1,2,2,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,7.0,7.0,6,1,0,0,4,27,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0.0,"Kelsey Field (New London, NH)",0,615461,615186,Lasell Lasers,Colby-Sawyer Chargers
2026,MBA,2026-04-06T00:00:00-04:00,6568747,615461,9679532,4,Nick Nigro,LF,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"Kelsey Field (New London, NH)",0,615461,615186,Lasell Lasers,Colby-Sawyer Chargers
2026,MBA,2026-04-06T00:00:00-04:00,6568747,615461,11331806,42,Lucas Stogner,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.333,1.1,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Kelsey Field (New London, NH)",0,615461,615186,Lasell Lasers,Colby-Sawyer Chargers
2026,MBA,2026-04-06T00:00:00-04:00,6568747,615461,9694880,5,Bobby Long,DH,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Kelsey Field (New London, NH)",0,615461,615186,Lasell Lasers,Colby-Sawyer Chargers
2026,MBA,2026-04-06T00:00:00-04:00,6568747,615186,9684327,6,Jared Schmitt,RF,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0.0,"Kelsey Field (New London, NH)",0,615461,615186,Lasell Lasers,Colby-Sawyer Chargers
2026,MBA,2026-04-06T00:00:00-04:00,6568747,615186,9702142,7,Devin Montalvo,2B,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,6,0,0,0,0,0,1,0,0.0,"Kelsey Field (New London, NH)",0,615461,615186,Lasell Lasers,Colby-Sawyer Chargers
2026,MBA,2026-04-06T00:00:00-04:00,6568747,615461,9685754,8,Luke Descheneaux,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.668,4.2,5,3,3,3,2,21,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Kelsey Field (New London, NH)",0,615461,615186,Lasell Lasers,Colby-Sawyer Chargers
2026,MBA,2026-04-06T00:00:00-04:00,6568747,615461,11235934,9,Tim Callahan,2B,1,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,4,0,0,0,0,0,1,0,0.0,"Kelsey Field (New London, NH)",0,615461,615186,Lasell Lasers,Colby-Sawyer Chargers
