season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2026,MBA,2026-03-14T13:00:00-04:00,6511815,614967,9695255,1,Eli Henderson,SS,1,1,1,3,2,0,0,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,1,0,0.0,"Donges Field (Ashland, OH)",73,614967,615004,Cedarville Yellow Jackets,Ashland Eagles
2026,MBA,2026-03-14T13:00:00-04:00,6511815,614967,9703510,11,Micah George,LF,1,1,0,4,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,5,0,0,0,0,0,0,0,0.0,"Donges Field (Ashland, OH)",73,614967,615004,Cedarville Yellow Jackets,Ashland Eagles
2026,MBA,2026-03-14T13:00:00-04:00,6511815,615004,9698643,14,Billy Howard,LF,1,1,0,2,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"Donges Field (Ashland, OH)",73,614967,615004,Cedarville Yellow Jackets,Ashland Eagles
2026,MBA,2026-03-14T13:00:00-04:00,6511815,614967,9702992,14,Grayson Weikel,DH,1,1,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Donges Field (Ashland, OH)",73,614967,615004,Cedarville Yellow Jackets,Ashland Eagles
2026,MBA,2026-03-14T13:00:00-04:00,6511815,615004,9701715,17,Josh Stalnaker,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.668,5.2,6,0,0,2,6,25,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Donges Field (Ashland, OH)",73,614967,615004,Cedarville Yellow Jackets,Ashland Eagles
2026,MBA,2026-03-14T13:00:00-04:00,6511815,615004,9695650,2,Collin Overholt,SS,1,1,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0,0,0,0,0,0,0,0.0,"Donges Field (Ashland, OH)",73,614967,615004,Cedarville Yellow Jackets,Ashland Eagles
2026,MBA,2026-03-14T13:00:00-04:00,6511815,615004,9695321,21,Chris Franks,RF,1,1,1,2,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0.0,"Donges Field (Ashland, OH)",73,614967,615004,Cedarville Yellow Jackets,Ashland Eagles
2026,MBA,2026-03-14T13:00:00-04:00,6511815,614967,11235531,24,Trey Tipton,RF,1,1,0,3,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Donges Field (Ashland, OH)",73,614967,615004,Cedarville Yellow Jackets,Ashland Eagles
2026,MBA,2026-03-14T13:00:00-04:00,6511815,614967,9691721,28,Kaden Wilde,C,1,1,1,4,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,5,0,0,0,0,0,0,0,0.0,"Donges Field (Ashland, OH)",73,614967,615004,Cedarville Yellow Jackets,Ashland Eagles
2026,MBA,2026-03-14T13:00:00-04:00,6511815,615004,9693209,29,Sean Krueckeberg,CF,1,1,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"Donges Field (Ashland, OH)",73,614967,615004,Cedarville Yellow Jackets,Ashland Eagles
