season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2026,MBA,2026-03-10T10:00:00-04:00,6524661,615452,11239516,1,Kyle O'Sullivan,C,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,0,0,0,1.0,"Davenport, FL",117,615452,615154,Mt. St. Mary (NY) Knights,Beloit Buccaneers
2026,MBA,2026-03-10T10:00:00-04:00,6524661,615154,9684308,10,Jack Alport,CF,1,1,2,4,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Davenport, FL",117,615452,615154,Mt. St. Mary (NY) Knights,Beloit Buccaneers
2026,MBA,2026-03-10T10:00:00-04:00,6524661,615452,9693762,10,Ricard Lamping,C,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"Davenport, FL",117,615452,615154,Mt. St. Mary (NY) Knights,Beloit Buccaneers
2026,MBA,2026-03-10T10:00:00-04:00,6524661,615452,11239529,11,Bruce Mistler,1B,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.0,"Davenport, FL",117,615452,615154,Mt. St. Mary (NY) Knights,Beloit Buccaneers
2026,MBA,2026-03-10T10:00:00-04:00,6524661,615154,9699493,11,Jacopo Tamburini,3B,1,1,2,3,1,1,0,2,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.0,"Davenport, FL",117,615452,615154,Mt. St. Mary (NY) Knights,Beloit Buccaneers
2026,MBA,2026-03-10T10:00:00-04:00,6524661,615154,9689290,12,Peyton Nisy,SS,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Davenport, FL",117,615452,615154,Mt. St. Mary (NY) Knights,Beloit Buccaneers
2026,MBA,2026-03-10T10:00:00-04:00,6524661,615452,11239539,13,Philip Giancaspro,PH,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Davenport, FL",117,615452,615154,Mt. St. Mary (NY) Knights,Beloit Buccaneers
2026,MBA,2026-03-10T10:00:00-04:00,6524661,615154,9687266,13,Vinnie Lutz,RF,1,0,0,2,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.0,"Davenport, FL",117,615452,615154,Mt. St. Mary (NY) Knights,Beloit Buccaneers
2026,MBA,2026-03-10T10:00:00-04:00,6524661,615154,9683064,15,Nolan Tomsyck,SS,1,1,1,3,2,1,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,6,1,0,0,0,0,1,0,0.0,"Davenport, FL",117,615452,615154,Mt. St. Mary (NY) Knights,Beloit Buccaneers
2026,MBA,2026-03-10T10:00:00-04:00,6524661,615452,11239555,16,Jack Gilbert,2B,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Davenport, FL",117,615452,615154,Mt. St. Mary (NY) Knights,Beloit Buccaneers
