season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2026,MBA,2026-02-14T15:00:00-05:00,6500438,614706,11205257,0,Colin Spear,1B,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,4,0,0,0,0,0,1,0,0.0,"Klein Family Field (Stockton, CA)",556,614842,614706,Utah Valley Wolverines,Pacific Tigers
2026,MBA,2026-02-14T15:00:00-05:00,6500438,614706,11209552,10,Peyton Richards,CF,1,1,1,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,0,0,0,0,0,0,0,0.0,"Klein Family Field (Stockton, CA)",556,614842,614706,Utah Valley Wolverines,Pacific Tigers
2026,MBA,2026-02-14T15:00:00-05:00,6500438,614706,9687923,13,Diego Davis,C,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,0,12,0,0,0,1,0,0,0,1.0,"Klein Family Field (Stockton, CA)",556,614842,614706,Utah Valley Wolverines,Pacific Tigers
2026,MBA,2026-02-14T15:00:00-05:00,6500438,614706,9696178,15,Jake Tandy,DH,1,1,0,4,1,1,0,2,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Klein Family Field (Stockton, CA)",556,614842,614706,Utah Valley Wolverines,Pacific Tigers
2026,MBA,2026-02-14T15:00:00-05:00,6500438,614706,9689880,20,Braeden Schnabel,LF,1,1,1,4,2,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Klein Family Field (Stockton, CA)",556,614842,614706,Utah Valley Wolverines,Pacific Tigers
2026,MBA,2026-02-14T15:00:00-05:00,6500438,614706,11209557,21,Connor Raridan,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.668,2.2,2,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Klein Family Field (Stockton, CA)",556,614842,614706,Utah Valley Wolverines,Pacific Tigers
2026,MBA,2026-02-14T15:00:00-05:00,6500438,614706,9698233,23,Andrew Sloan,PH,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Klein Family Field (Stockton, CA)",556,614842,614706,Utah Valley Wolverines,Pacific Tigers
2026,MBA,2026-02-14T15:00:00-05:00,6500438,614706,11209559,26,Grant MacArthur,3B,1,1,1,3,1,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Klein Family Field (Stockton, CA)",556,614842,614706,Utah Valley Wolverines,Pacific Tigers
2026,MBA,2026-02-14T15:00:00-05:00,6500438,614706,9691361,27,JT Shank,RF,1,1,0,4,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Klein Family Field (Stockton, CA)",556,614842,614706,Utah Valley Wolverines,Pacific Tigers
2026,MBA,2026-02-14T15:00:00-05:00,6500438,614842,9702578,28,Cooper Littledike,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,1,1,1,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Klein Family Field (Stockton, CA)",556,614842,614706,Utah Valley Wolverines,Pacific Tigers
