season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2026,MBA,2026-04-06T00:00:00-04:00,6568796,614992,9697274,1,Carson Lindau,LF,1,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0.0,"Farmers Insurance Complex (Caledonia, MI)",100,614992,615077,Davenport Panthers,Saginaw Valley Cardinals
2026,MBA,2026-04-06T00:00:00-04:00,6568796,615077,9684662,10,Aaron Bess,RF,1,1,1,5,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0.0,"Farmers Insurance Complex (Caledonia, MI)",100,614992,615077,Davenport Panthers,Saginaw Valley Cardinals
2026,MBA,2026-04-06T00:00:00-04:00,6568796,614992,9681867,10,Wyatt Epple,CF,1,1,1,5,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,5,0,0,0,0,0,0,0,0.0,"Farmers Insurance Complex (Caledonia, MI)",100,614992,615077,Davenport Panthers,Saginaw Valley Cardinals
2026,MBA,2026-04-06T00:00:00-04:00,6568796,615077,9681747,11,Austin Cicerone,3B,1,1,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.0,"Farmers Insurance Complex (Caledonia, MI)",100,614992,615077,Davenport Panthers,Saginaw Valley Cardinals
2026,MBA,2026-04-06T00:00:00-04:00,6568796,615077,9696201,12,Zane Wilson,PH,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Farmers Insurance Complex (Caledonia, MI)",100,614992,615077,Davenport Panthers,Saginaw Valley Cardinals
2026,MBA,2026-04-06T00:00:00-04:00,6568796,615077,9677419,13,Connor Cornwell,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.0,"Farmers Insurance Complex (Caledonia, MI)",100,614992,615077,Davenport Panthers,Saginaw Valley Cardinals
2026,MBA,2026-04-06T00:00:00-04:00,6568796,614992,11237734,13,Julian Contreras,SS,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,8,1,0,0,0,0,0,0,0.0,"Farmers Insurance Complex (Caledonia, MI)",100,614992,615077,Davenport Panthers,Saginaw Valley Cardinals
2026,MBA,2026-04-06T00:00:00-04:00,6568796,615077,9681496,14,Buck Snabes,2B,1,1,0,5,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0.0,"Farmers Insurance Complex (Caledonia, MI)",100,614992,615077,Davenport Panthers,Saginaw Valley Cardinals
2026,MBA,2026-04-06T00:00:00-04:00,6568796,614992,11237735,14,Gabe Helder,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333,0.1,2,2,2,1,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Farmers Insurance Complex (Caledonia, MI)",100,614992,615077,Davenport Panthers,Saginaw Valley Cardinals
2026,MBA,2026-04-06T00:00:00-04:00,6568796,615077,9678859,15,Ryan McCartan,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,0,0,0,0,0,0,0,0.0,"Farmers Insurance Complex (Caledonia, MI)",100,614992,615077,Davenport Panthers,Saginaw Valley Cardinals
