season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2026,MBA,2026-03-28T12:00:00-04:00,6535173,615041,11225687,1,Joey Humphrey,LF,1,1,2,2,1,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Greyhound Park (Indianapolis, IN)",130,615090,615041,Upper Iowa Peacocks,UIndy Greyhounds
2026,MBA,2026-03-28T12:00:00-04:00,6535173,615090,9676818,1,Thane Meiners,SS,1,1,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,4,1,0,0,0,0,0,0,0.0,"Greyhound Park (Indianapolis, IN)",130,615090,615041,Upper Iowa Peacocks,UIndy Greyhounds
2026,MBA,2026-03-28T12:00:00-04:00,6535173,615041,9705077,10,Chase Mason,C,1,1,0,4,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0,9,0,0,0,1,0,0,0,1.0,"Greyhound Park (Indianapolis, IN)",130,615090,615041,Upper Iowa Peacocks,UIndy Greyhounds
2026,MBA,2026-03-28T12:00:00-04:00,6535173,615090,9700941,10,Dylan Hesch,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.0,5.0,5,2,2,1,6,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Greyhound Park (Indianapolis, IN)",130,615090,615041,Upper Iowa Peacocks,UIndy Greyhounds
2026,MBA,2026-03-28T12:00:00-04:00,6535173,615041,11225697,11,Carter Thomas,CF,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0.0,"Greyhound Park (Indianapolis, IN)",130,615090,615041,Upper Iowa Peacocks,UIndy Greyhounds
2026,MBA,2026-03-28T12:00:00-04:00,6535173,615090,11226923,13,Cael Luzum,RF,1,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Greyhound Park (Indianapolis, IN)",130,615090,615041,Upper Iowa Peacocks,UIndy Greyhounds
2026,MBA,2026-03-28T12:00:00-04:00,6535173,615090,9704211,17,Gabe Bombardier,3B,1,1,1,3,2,0,0,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0.0,"Greyhound Park (Indianapolis, IN)",130,615090,615041,Upper Iowa Peacocks,UIndy Greyhounds
2026,MBA,2026-03-28T12:00:00-04:00,6535173,615041,11225688,2,Gavin Duran,SS,1,1,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,0,0,0,0,0,0,0,0.0,"Greyhound Park (Indianapolis, IN)",130,615090,615041,Upper Iowa Peacocks,UIndy Greyhounds
2026,MBA,2026-03-28T12:00:00-04:00,6535173,615090,9695792,21,Jared Hoodjer,LF,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0.0,"Greyhound Park (Indianapolis, IN)",130,615090,615041,Upper Iowa Peacocks,UIndy Greyhounds
2026,MBA,2026-03-28T12:00:00-04:00,6535173,615041,9686763,21,Luke Smock,RF,1,1,2,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"Greyhound Park (Indianapolis, IN)",130,615090,615041,Upper Iowa Peacocks,UIndy Greyhounds
